,Texto,Texto limpio,Noticia,Frase/Pensamiento,Microficción
24,"#ÚltimaHora FGR determina no ejercicio de acción penal en favor de Salvador Cienfuegos 
https://t.co/FqcfJVZVAm https://t.co/JqiH5AXBmR",últimahora fgr determina ejercicio acción penal favor salvador cienfuegos,1,0,0
25,"Responde exdirector de operaciones internacionales de la DEA a Gertz Manero: tenemos 95% de éxito en casos; la FGR, 5% https://t.co/UhQacwQ84o https://t.co/84wESsbgUv",responde exdirector operaciones internacionales dea gertz manero éxito casos fgr,1,0,0
26,"'Si no lo iban a procesar, ¿por qué no dejaron al general Salvador Cienfuegos aquí en los EE.UU.? ¿Tenían temor de lo que iba a declarar?', preguntó Mike Vigil, exdirector de Operaciones de la DEA.

Aquí toda la información 👉 https://t.co/x8cCBgIaJ4 https://t.co/8cVvamImLC",si iban procesar dejaron general salvador cienfuegos aquí eeuu temor iba declarar preguntó mike vigil exdirector operaciones dea aquí toda información,1,0,0
27,Desmiente Rusia que empresario mexicano haya comprado 2 millones de dosis de Spunik V https://t.co/LP0NQmrwxZ https://t.co/3VdsMZNdBS,desmiente rusia empresario mexicano comprado millones dosis spunik v,1,0,0
28,En Wuhan salen a las calles a celebrar la llegada del 2021 https://t.co/FxMSbfNzX1 https://t.co/HDz8RjCzB5,wuhan salen calles celebrar llegada,1,0,0
29,Teníamos gobierno 'mantenido y bueno para nada': AMLO https://t.co/DH0sFvAFTI https://t.co/3aQQxH1zQP,gobierno mantenido bueno amlo,1,0,0
30,"Con Félix Salgado, Acapulco se volvió madriguera de narcotraficantes: Anabel Hernández | #Entérate
https://t.co/dV9mkpBWCc https://t.co/IQ1UH5KG0G",félix salgado acapulco volvió madriguera narcotraficantes anabel hernández entérate,1,0,0
31,#ÚltimaHora | AMLO da positivo a Covid-19 https://t.co/t4Y9KyZGoN https://t.co/DBBg8SyXwm,últimahora amlo da positivo covid19,1,0,0
32,"Hallan escultura femenina de casi 2 metros de altura en Veracruz; es la primera en su tipo: INAH
https://t.co/cJ8FlhHjb2 https://t.co/vlYjWukckJ",hallan escultura femenina casi metros altura veracruz primera tipo inah,1,0,0
33,"#AristeguiEnVivo | Yo no llegaría a decir que son pendejos los de la DEA -todavía- pero llevaron en secreto un asunto que deberían haber llevado en colaboración con México de acuerdo con los convenios: Alejandro Gertz Manero, titular de @FGRMexico 

Aquí 👉https://t.co/Yr4FpDQ4AE https://t.co/HEoyYyqiKO",aristeguienvivo llegaría decir pendejos dea todavía llevaron secreto asunto deberían haber llevado colaboración méxico acuerdo convenios alejandro gertz manero titular fgrmexico aquí,1,0,0
34,¡Bravo! Policía de la CDMX regresa a joven mochila con 30 mil pesos que usaría para comprar un tanque de oxígeno https://t.co/Rw5ljm8MdZ https://t.co/hOyXwANqFI,bravo policía cdmx regresa joven mochila mil pesos usaría comprar tanque oxígeno,1,0,0
35,Aumenta demanda de Signal y Telegram ante debate por condiciones de uso de WhatsApp https://t.co/ymFA2Py7qu https://t.co/pSXv2jSawd,aumenta demanda signal telegram debate condiciones uso whatsapp,1,0,0
36,Quienes viajaron con AMLO en avión deben aislarse y realizarse una prueba: especialista https://t.co/2kOnxogN4z https://t.co/D2I324Lalu,viajaron amlo avión deben aislarse realizarse prueba especialista,1,0,0
37,"Walmart confirma que ofreció ayuda al Gobierno Federal para que se instalen módulos de vacunación en sus estacionamientos, además de brindar agua, alimento y acceso a instalaciones al Ejército y la Marina. Esto por sus ubicaciones en todo el territorio https://t.co/JkDY8gLb6a https://t.co/XH50e2chOm",walmart confirma ofreció ayuda gobierno federal instalen módulos vacunación estacionamientos además brindar agua alimento acceso instalaciones ejército marina ubicaciones territorio,1,0,0
38,"#Dinero con @galvanochoa | El gasto en publicidad del gobierno actual en 2020 fue de 654 millones de pesos, un presupuesto muy por debajo de los 9 mil 132 millones que gastó el sexenio de Peña Nieto en su último año https://t.co/KA3gt1KPLU https://t.co/9LE1KZwNsr",dinero galvanochoa gasto publicidad gobierno actual millones pesos presupuesto debajo mil millones gastó sexenio peña nieto último año,1,0,0
39,Tres cárteles están ya tratando de patrocinar candidatos para 2021: Anabel Hernández https://t.co/k0lJrLvePc https://t.co/F2YnvtQfyg,tres cárteles tratando patrocinar candidatos anabel hernández,1,0,0
40,Inhabilita SFP 10 años a Alfredo Castillo por ocultar cuentas con 18 millones de pesos https://t.co/XE83IOExPJ https://t.co/Npbj9yXYrq,inhabilita sfp años alfredo castillo ocultar cuentas millones pesos,1,0,0
41,"#ÚltimaHora Se registra ‘apagón’ en distintas ciudades del país
https://t.co/1Oiy9miK2c https://t.co/238zK8bUVa",últimahora registra apagón distintas ciudades país,1,0,0
42,"Se hunde embarcación turística con casi 60 pasajeros en Puerto Vallarta | #Videos
https://t.co/KOlOYpnJUs https://t.co/i2NL8bUzul",hunde embarcación turística casi pasajeros puerto vallarta videos,1,0,0
43,Vicente Fox llama ‘chachalaca tabasqueña’ al presidente López Obrador  https://t.co/pypzBFH7rb https://t.co/4ueS7MGBCp,vicente fox llama chachalaca tabasqueña presidente lópez obrador,1,0,0
44,¿A quién se le ocurre pensar que Salgado Macedonio es un candidato idóneo?: Anabel Hernández https://t.co/aMf30qaxeQ https://t.co/IUTpiTKsUh,quién ocurre pensar salgado macedonio candidato idóneo anabel hernández,1,0,0
45,"#AristeguiEnVivo | El pasado domingo, Sandra Esther Vaca Cortés, identificada por una periodista como parte de una red de prostitución que funcionaba al interior el PRI, se preregistró como aspirante a una diputación federal https://t.co/1i5sPvN4lM https://t.co/MT0jCefxJa",aristeguienvivo pasado domingo sandra esther vaca cortés identificada periodista parte red prostitución funcionaba interior pri preregistró aspirante diputación federal,1,0,0
46,"Si no nos ayudas, no vamos a resistir: Personal médico | #Video
https://t.co/SBy7yEBYEE https://t.co/rToLc35dRH",si ayudas vamos resistir personal médico video,1,0,0
47,Este fin de semana AMLO recorrió 2 mil kilómetros y tuvo siete eventos públicos https://t.co/yGFByxyuT4 https://t.co/2tA6pZyEGM,fin semana amlo recorrió mil kilómetros siete eventos públicos,1,0,0
48,"Autoridades del ISSSTE denuncian ante FGR aplicación ilegal de vacunas a familiares y administrativos
https://t.co/bm9l5Hjg1w https://t.co/0RsK9j3mLU",autoridades issste denuncian fgr aplicación ilegal vacunas familiares administrativos,1,0,0
49,Pregúntenle a la gente si ya no quieren mañaneras: AMLO https://t.co/uHWqttkklQ https://t.co/XpMU27i6kc,pregúntenle gente si quieren mañaneras amlo,1,0,0
50,"Renuncian integrantes del equipo de Trump y Melania
https://t.co/yHHczIOE9G https://t.co/PjnHO5RwaI",renuncian integrantes equipo trump melania,1,0,0
51,Confirman pena de 22 años de prisión por corrupción para expresidenta surcoreana https://t.co/4qBbblpf0t https://t.co/qNM8Lz8Naj,confirman pena años prisión corrupción expresidenta surcoreana,1,0,0
52,"Carlos Slim tiene Covid-19 desde hace una semana
https://t.co/eSsvv9dQTK https://t.co/pszunNAgpw",carlos slim covid19 hace semana,1,0,0
53,"Gobierno de México dice que combate la corrupción, pero ahora defiende a un corrupto: Vigil https://t.co/p1fTkZaGa9 https://t.co/buaCLFQeKb",gobierno méxico dice combate corrupción ahora defiende corrupto vigil,1,0,0
54,#ÚltimoMomento | Murió el cantautor yucateco Armando Manzanero https://t.co/yP0qBzbfov https://t.co/X7S8EWv0dU,últimomomento murió cantautor yucateco armando manzanero,1,0,0
55,"#AristeguiEnVivo | ""Ahora están protegiendo a un oficial corrupto y nos están acusando de que hicimos algo mal"", dice Mike Vigil, ex jefe de operaciones internacionales de la DEA y quien participó en las investigaciones a Salvador Cienfuegos https://t.co/rD0NgpirnJ https://t.co/xXUw9e66y4",aristeguienvivo ahora protegiendo oficial corrupto acusando hicimos mal dice mike vigil ex jefe operaciones internacionales dea participó investigaciones salvador cienfuegos,1,0,0
56,No endeudamos al país a pesar de la pandemia: AMLO https://t.co/JY8Gc29jSK https://t.co/OyCFicsTRY,endeudamos país pesar pandemia amlo,1,0,0
57,"#AristeguiEnVivo | Ya estamos en directo con el doctor Alejandro Gertz Manero, titular de la @FGRMexico, para ampliar la información sobre el caso del general Salvador Cienfuegos https://t.co/wFxiBU6hM7 https://t.co/54SKCpyHcn",aristeguienvivo directo doctor alejandro gertz manero titular fgrmexico ampliar información caso general salvador cienfuegos,1,0,0
58,Lanzan la campaña 'Devuelve tu tanque. Por amor a la vida' para que la ciudadanía devuelva los tanques de oxígeno que rentó https://t.co/yStJOrOivI https://t.co/ErwUCDFIv3,lanzan campaña devuelve tanque amor vida ciudadanía devuelva tanques oxígeno rentó,1,0,0
59,Anabel Hernández cuestiona por qué gobierno de AMLO pagó la defensa de Cienfuegos https://t.co/V4W6d3jmcC https://t.co/YNzJeduVCi,anabel hernández cuestiona gobierno amlo pagó defensa cienfuegos,1,0,0
60,"García Harfuch recibía 200 mil dólares mensuales de Guerreros Unidos: testigo
https://t.co/1ARN2rbgwz https://t.co/nIdNeeiA8l",garcía harfuch recibía mil dólares mensuales guerreros unidos testigo,1,0,0
61,"Gobierno de México dice que combate la corrupción, pero ahora defiende a un corrupto: Vigil | Entérate
https://t.co/88BOZfQbUa https://t.co/nFyEyG13PH",gobierno méxico dice combate corrupción ahora defiende corrupto vigil entérate,1,0,0
62,"En ningún momento ha sido rebasado el Sistema Hospitalario durante la pandemia: López-Gatell
https://t.co/md43bPJqaI https://t.co/hG4pVO7zXB",ningún momento sido rebasado sistema hospitalario pandemia lópezgatell,1,0,0
63,Cienfuegos bloqueó interrogatorios a soldados en caso Ayotzinapa: Anabel Hernández https://t.co/wnAUeclpam https://t.co/UYLGc7ju32,cienfuegos bloqueó interrogatorios soldados caso ayotzinapa anabel hernández,1,0,0
64,No siento que la gente se decepcione por caso Cienfuegos: AMLO https://t.co/qtS2gIy1cS https://t.co/aX1gFL2GOY,siento gente decepcione caso cienfuegos amlo,1,0,0
65,"#AristeguiEnVivo | Once personas fueron asesinadas en Celaya, Guanajuato; nueve de ellas estaban en un velorio. Se trata del saldo más cruel en tiempos recientes. Todos los detalles con @JavierBravoL, periodista en Guanajuato https://t.co/FhWBCwH2X6 https://t.co/uZLfSA1AT3",aristeguienvivo once personas asesinadas celaya guanajuato nueve velorio trata saldo cruel tiempos recientes detalles javierbravol periodista guanajuato,1,0,0
66,"TEPJF declara procedente bajar spot de Morena sobre vacunas contra el Covid-19
https://t.co/cMxWhC65Ta https://t.co/14qc9zaA1Y",tepjf declara procedente bajar spot morena vacunas covid19,1,0,0
67,Pregunta INE a Presidencia: ¿le paga a reporteros que cubren mañaneras? https://t.co/lcynEBYxYt https://t.co/uCusUeILZy,pregunta ine presidencia paga reporteros cubren mañaneras,1,0,0
68,"Más de 25 millones se van a Telegram tras nuevas políticas de Whatsapp
https://t.co/Z8Wqca7bNF https://t.co/ZSgJIqLXvu",millones van telegram tras nuevas políticas whatsapp,1,0,0
69,"Dos gorilas dan positivo por coronavirus en el zoológico de San Diego
https://t.co/KIl9pioFqm https://t.co/SS93rA6pgD",dos gorilas dan positivo coronavirus zoológico san diego,1,0,0
70,Reino Unido rompe el récord de nuevos contagios de Covid- 19 con casi 58 mil casos en un solo día https://t.co/0v05J5uBbM https://t.co/8JXuUZUly0,reino unido rompe récord nuevos contagios covid casi mil casos solo día,1,0,0
71,"Obtiene el mexicano Enrique Casarrubias una estrella Michelin en Francia
https://t.co/jVVHeGQlo8 https://t.co/IxwZZRSUMV",obtiene mexicano enrique casarrubias estrella michelin francia,1,0,0
72,Detectan en Tamaulipas caso de nueva variante de coronavirus de Reino Unido https://t.co/RbxEsW6zc2 https://t.co/Z1RvdQGVuo,detectan tamaulipas caso nueva variante coronavirus reino unido,1,0,0
73,"#ExpedienteHarfuch | En octubre de 2020, la periodista Anabel Hernández accedió a documentos oficiales sobre el actual jefe de la policía en la capital, los cuales demostraban que reprobó los exámenes de confianza 👉 https://t.co/nFj1gIbTIM https://t.co/BXtbQ4WEHN",expedienteharfuch octubre periodista anabel hernández accedió documentos oficiales actual jefe policía capital cuales demostraban reprobó exámenes confianza,1,0,0
74,Regresa el Bisonte americano a territorio nacional: manada de Coahuila tiene 230 ejemplares https://t.co/dn32UlvrSZ https://t.co/KtjyTquWUo,regresa bisonte americano territorio nacional manada coahuila ejemplares,1,0,0
75,"#LoMejordeAristeguienVivo | Hay fotos de violación de Félix Salgado a mujer: ex fiscal | Con Salgado, Acapulco se volvió madriguera de narcos: Anabel | #Video
https://t.co/3UtqyMX7pN https://t.co/TdiM0Dvgnt",lomejordearisteguienvivo fotos violación félix salgado mujer ex fiscal salgado acapulco volvió madriguera narcos anabel video,1,0,0
76,Enfermero de California se contagia de Covid-19 a una semana de recibir vacuna de Pfizer https://t.co/ujLvUDuWFD https://t.co/DvCQNV8ksZ,enfermero california contagia covid19 semana recibir vacuna pfizer,1,0,0
77,"Es reprobable cualquier forma de censura, pero también es momento de preguntarnos si es pertinente que la política y el debate público sigan dependiendo de plataformas que no son patrimonio público, sino empresas privadas | Por @chamanesco 👉🏼 https://t.co/crOYBiRa4W https://t.co/NPaNdOFb50",reprobable cualquier forma censura momento preguntarnos si pertinente política debate público sigan dependiendo plataformas patrimonio público sino empresas privadas chamanesco,1,0,0
78,"#AristeguiEnVivo | Esta mañana, el doctor Alejandro Gertz Manero, titular de @FGRMexico, conversará con Carmen Aristegui sobre la decisión de no ejercer acción penal contra el general Salvador Cienfuegos Zepeda.

Aquí puedes escucharlo: https://t.co/Yr4FpDQ4AE https://t.co/kyQcxpwBq4",aristeguienvivo mañana doctor alejandro gertz manero titular fgrmexico conversará carmen aristegui decisión ejercer acción penal general salvador cienfuegos zepeda aquí puedes escucharlo,1,0,0
79,"La senadora del PAN, Lilly Téllez, criticó el acuerdo para traer la vacuna rusa a México, pues aseguró que esta apenas está siendo analizada por la OMS https://t.co/AN5ftWqctB https://t.co/8nluzYY2iW",senadora pan lilly téllez criticó acuerdo traer vacuna rusa méxico pues aseguró apenas siendo analizada oms,1,0,0
80,García Harfuch fue notificado de lo que pasó en Iguala; narcos decían que sobornaban a un 'Omarcito': Anabel Hernández https://t.co/SbnRP6lOE1 https://t.co/fZAospSks7,garcía harfuch notificado pasó iguala narcos decían sobornaban omarcito anabel hernández,1,0,0
81,"Ganan comunidades yucatecas suspensión provisional contra Tren Maya
https://t.co/FHSoiXaFiR https://t.co/2PrVLGcNJp",ganan comunidades yucatecas suspensión provisional tren maya,1,0,0
82,"El 4 de abril debe suspenderse transmisión íntegra de conferencias de AMLO: Lorenzo Córdova
https://t.co/UkZx6ohCBB https://t.co/psfk4jRBJb",abril debe suspenderse transmisión íntegra conferencias amlo lorenzo córdova,1,0,0
83,"Confirma AMLO que Cienfuegos es parte del consejo asesor de Luis Cresencio Sandoval
https://t.co/XA2VuUYH6v https://t.co/EJrgAC62Iz",confirma amlo cienfuegos parte consejo asesor luis cresencio sandoval,1,0,0
84,"Walmart sí ofreció ayuda al gobierno para distribuir, no vender, las vacunas anti-Covid https://t.co/7O6VMPZWVF https://t.co/Zq24VJNrBA",walmart ofreció ayuda gobierno distribuir vender vacunas anticovid,1,0,0
85,Fiscalía de CDMX acusa al diputado Mauricio Toledo de enriquecimiento ilícito https://t.co/8ctgJxzam5 https://t.co/taafJzORSo,fiscalía cdmx acusa diputado mauricio toledo enriquecimiento ilícito,1,0,0
86,Descubren que las 'espinas' del coronavirus están cubiertas de azúcar | Video https://t.co/c9JiXfA0sD https://t.co/lLCUk1Mg9X,descubren espinas coronavirus cubiertas azúcar video,1,0,0
87,Difunden foto de AMLO trabajando; pacta con Putin envío de 24 millones de vacunas Sputnik V a México https://t.co/F2U38Cmgvy https://t.co/UI1hDOaEUO,difunden foto amlo trabajando pacta putin envío millones vacunas sputnik v méxico,1,0,0
88,El teletrabajo debe ser pactado por ambas partes e implica pago de insumos: Alcalde https://t.co/ibqZ7V1YOr https://t.co/ckppQkgR6J,teletrabajo debe ser pactado ambas partes implica pago insumos alcalde,1,0,0
89,#AristeguiEnVivo | He dado instrucciones para que hoy mismo se emita un comunicado estableciendo que cualquier empresa o gobierno local que quiera adquirir vacunas tiene autorización. Sólo deberán anexan a la solicitud el contrato de adquisición: AMLO https://t.co/UwOCI7zn0G https://t.co/XJ0mL6wpUN,aristeguienvivo dado instrucciones hoy mismo emita comunicado estableciendo cualquier empresa gobierno local quiera adquirir vacunas autorización sólo deberán anexan solicitud contrato adquisición amlo,1,0,0
90,"Twitter suspendió el jueves a un número indeterminado de cuentas, pero lo que más llamó la atención en redes fue la baja de algunas afines al gobierno de Andrés Manuel López Obrador https://t.co/eR8CFGkKE4 https://t.co/SLmQe5jOPd",twitter suspendió jueves número indeterminado cuentas llamó atención redes baja afines gobierno andrés manuel lópez obrador,1,0,0
91,"Muere alumno por Covid-19 en el Hospital General de Ecatepec; UNAM retira a internos
https://t.co/btrUuB1Jze https://t.co/yeK5elg088",muere alumno covid19 hospital general ecatepec unam retira internos,1,0,0
92,"Es ridículo señalamiento de AMLO, nosotros no inventamos pruebas: exdirectivo de la DEA https://t.co/CxnJkwAz63 https://t.co/u9StEVluL7",ridículo señalamiento amlo inventamos pruebas exdirectivo dea,1,0,0
93,Hay prepotencia y arrogancia en fundador de Facebook al justificar censura a Trump: AMLO https://t.co/BF3hexZr1c https://t.co/yow4Jma2Wo,prepotencia arrogancia fundador facebook justificar censura trump amlo,1,0,0
94,#ÚltimaHora Alemania exige a viajeros mexicanos y de otros 19 países prueba negativa de Covid-19 https://t.co/P6OADPnFyO https://t.co/b3xFT44s1a,últimahora alemania exige viajeros mexicanos países prueba negativa covid19,1,0,0
95,"#LoMejordeAristeguienVivo | Existen pruebas contundentes contra Cienfuegos; se protege a un oficial corrupto: exdirectivo de la DEA | #Video
https://t.co/8vbJhUMK42 https://t.co/pFRTy6V44E",lomejordearisteguienvivo existen pruebas contundentes cienfuegos protege oficial corrupto exdirectivo dea video,1,0,0
96,"Publicar expediente Cienfuegos viola tratado y pone en duda si EU compartirá información con México: Departamento de Justicia
https://t.co/5fBdBbhzEP https://t.co/D4bXj2aCNm",publicar expediente cienfuegos viola tratado pone duda si eu compartirá información méxico departamento justicia,1,0,0
97,AstraZeneca y Pfizer dicen a gobernadores que no podrán venderles vacunas antes de diciembre https://t.co/bnC3DI3Iy6 https://t.co/GoAsj0dtyt,astrazeneca pfizer dicen gobernadores podrán venderles vacunas diciembre,1,0,0
98,#ÚltimaHora Muere el periodista Larry King a los 87 años https://t.co/MxTyqlVwz1 https://t.co/RQbDFhJIVm,últimahora muere periodista larry king años,1,0,0
99,A empresas de energías limpias solo les interesa el lucro: AMLO https://t.co/GvcnhXziZu https://t.co/bGZrdv7CZZ,empresas energías limpias solo interesa lucro amlo,1,0,0
100,"Por privacidad, no revelaremos datos clínicos del presidente: López-Gatell
https://t.co/QZ6Nw7DmSD https://t.co/jrazBhPlg8",privacidad revelaremos datos clínicos presidente lópezgatell,1,0,0
101,"Matan a 12 personas y dejan sus cuerpos a mitad de carretera en Las Choapas, Veracruz https://t.co/rqoQlEi1Zc https://t.co/jzvkBHMtZ2",matan personas dejan cuerpos mitad carretera choapas veracruz,1,0,0
102,Dan revés a Elektra por adeudo fiscal de 4 mil 900 mdp https://t.co/CeEj3opQdm https://t.co/glmXnaH4et,dan revés elektra adeudo fiscal mil mdp,1,0,0
103,Un grupo de científicos publicó un trabajo de investigación que demostró que el azúcar juega un papel fundamental para que el virus SARS-CoV-2 sea capaz de camuflarse dentro del sistema inmunitario https://t.co/Va53kKynAV https://t.co/IfC7Zc8FSc,grupo científicos publicó trabajo investigación demostró azúcar juega papel fundamental virus sarscov2 capaz camuflarse dentro sistema inmunitario,1,0,0
104,"Renuncia Miriam Veras Godoy, encargada del plan de vacunación contra Covid-19 https://t.co/1M2hvnPI0Y https://t.co/a4KcxDLK9y",renuncia miriam veras godoy encargada plan vacunación covid19,1,0,0
105,"Despiden a directora de hospital que vacunó a su esposo | #Video
https://t.co/K7Foutlprg https://t.co/x94Umwj3Tb",despiden directora hospital vacunó esposo video,1,0,0
106,"Anuncia AMLO vacunación masiva anti-Covid a partir del 12 de enero
https://t.co/XGPLnsltGU https://t.co/ExL863uIil",anuncia amlo vacunación masiva anticovid partir enero,1,0,0
107,"#ULTIMAHORA La nieve colapsa Madrid y otras ciudades de España por una tormenta inédita | Fotos y vídeos
https://t.co/XNy2jzuoX3 https://t.co/paH1N1Dh4c",ultimahora nieve colapsa madrid ciudades españa tormenta inédita fotos vídeos,1,0,0
108,"Profeco llama a ciudadanía a devolver tanques de oxígeno que rentó
https://t.co/cCBibVntta https://t.co/1AvEIJ17pC",profeco llama ciudadanía devolver tanques oxígeno rentó,1,0,0
109,"¡Bravo! Policía de la CDMX regresa a joven mochila con 30 mil pesos que usaría para comprar un tanque de oxígeno | Video
https://t.co/mcFIihgaRA https://t.co/c9azf2EkUP",bravo policía cdmx regresa joven mochila mil pesos usaría comprar tanque oxígeno video,1,0,0
110,"Piden a Pence la destitución de Trump; es responsable de sedición: The Washington Post
https://t.co/cMQhqdsCH5 https://t.co/Q6EDsXwxHw",piden pence destitución trump responsable sedición the washington post,1,0,0
111,¿El chiste es darme en la madre? No me voy a dejar: fiscal Gertz al responder sobre caso Cienfuegos https://t.co/LdWQ3YracC https://t.co/mtl487tuuB,chiste darme madre voy dejar fiscal gertz responder caso cienfuegos,1,0,0
112,"Exhiben en redes a #Ladymevale por negarse a usar cubrebocas
https://t.co/eRGdacCb99 https://t.co/ge2J85isUB",exhiben redes ladymevale negarse usar cubrebocas,1,0,0
113,Presume AMLO encuesta internacional que ubica a su gobierno como el segundo mejor evaluado https://t.co/lnJ8Ctewwp https://t.co/TZRs5RXDQ0,presume amlo encuesta internacional ubica gobierno segundo mejor evaluado,1,0,0
114,"Piden a Pence considerar la destitución de Trump de la Presidencia de EU
https://t.co/sWMF8o7BsF https://t.co/YiZoSDZGlD",piden pence considerar destitución trump presidencia eu,1,0,0
115,"Hospitalizan por Covid-19 a Norberto Rivera Carrera, cardenal emérito de México https://t.co/y0CbHvazRg https://t.co/8kdVMUv3LJ",hospitalizan covid19 norberto rivera carrera cardenal emérito méxico,1,0,0
