,Texto,Noticia,Frase/Pensamiento,Microficción
39,Quienes viajaron con AMLO en avión deben aislarse y realizarse una prueba: especialista https://t.co/2kOnxogN4z https://t.co/D2I324Lalu,1,0,0
40,"Walmart confirma que ofreció ayuda al Gobierno Federal para que se instalen módulos de vacunación en sus estacionamientos, además de brindar agua, alimento y acceso a instalaciones al Ejército y la Marina. Esto por sus ubicaciones en todo el territorio https://t.co/JkDY8gLb6a https://t.co/XH50e2chOm",1,0,0
41,"#Dinero con @galvanochoa | El gasto en publicidad del gobierno actual en 2020 fue de 654 millones de pesos, un presupuesto muy por debajo de los 9 mil 132 millones que gastó el sexenio de Peña Nieto en su último año https://t.co/KA3gt1KPLU https://t.co/9LE1KZwNsr",1,0,0
42,Tres cárteles están ya tratando de patrocinar candidatos para 2021: Anabel Hernández https://t.co/k0lJrLvePc https://t.co/F2YnvtQfyg,1,0,0
43,Inhabilita SFP 10 años a Alfredo Castillo por ocultar cuentas con 18 millones de pesos https://t.co/XE83IOExPJ https://t.co/Npbj9yXYrq,1,0,0
44,"#ÚltimaHora Se registra ‘apagón’ en distintas ciudades del país
https://t.co/1Oiy9miK2c https://t.co/238zK8bUVa",1,0,0
45,"Se hunde embarcación turística con casi 60 pasajeros en Puerto Vallarta | #Videos
https://t.co/KOlOYpnJUs https://t.co/i2NL8bUzul",1,0,0
46,Vicente Fox llama ‘chachalaca tabasqueña’ al presidente López Obrador  https://t.co/pypzBFH7rb https://t.co/4ueS7MGBCp,1,0,0
47,¿A quién se le ocurre pensar que Salgado Macedonio es un candidato idóneo?: Anabel Hernández https://t.co/aMf30qaxeQ https://t.co/IUTpiTKsUh,1,0,0
48,"#AristeguiEnVivo | El pasado domingo, Sandra Esther Vaca Cortés, identificada por una periodista como parte de una red de prostitución que funcionaba al interior el PRI, se preregistró como aspirante a una diputación federal https://t.co/1i5sPvN4lM https://t.co/MT0jCefxJa",1,0,0
49,"Si no nos ayudas, no vamos a resistir: Personal médico | #Video
https://t.co/SBy7yEBYEE https://t.co/rToLc35dRH",1,0,0
50,Este fin de semana AMLO recorrió 2 mil kilómetros y tuvo siete eventos públicos https://t.co/yGFByxyuT4 https://t.co/2tA6pZyEGM,1,0,0
51,"Autoridades del ISSSTE denuncian ante FGR aplicación ilegal de vacunas a familiares y administrativos
https://t.co/bm9l5Hjg1w https://t.co/0RsK9j3mLU",1,0,0
52,Pregúntenle a la gente si ya no quieren mañaneras: AMLO https://t.co/uHWqttkklQ https://t.co/XpMU27i6kc,1,0,0
53,"Renuncian integrantes del equipo de Trump y Melania
https://t.co/yHHczIOE9G https://t.co/PjnHO5RwaI",1,0,0
54,Confirman pena de 22 años de prisión por corrupción para expresidenta surcoreana https://t.co/4qBbblpf0t https://t.co/qNM8Lz8Naj,1,0,0
55,"Carlos Slim tiene Covid-19 desde hace una semana
https://t.co/eSsvv9dQTK https://t.co/pszunNAgpw",1,0,0
56,"Gobierno de México dice que combate la corrupción, pero ahora defiende a un corrupto: Vigil https://t.co/p1fTkZaGa9 https://t.co/buaCLFQeKb",1,0,0
57,#ÚltimoMomento | Murió el cantautor yucateco Armando Manzanero https://t.co/yP0qBzbfov https://t.co/X7S8EWv0dU,1,0,0
58,"#AristeguiEnVivo | ""Ahora están protegiendo a un oficial corrupto y nos están acusando de que hicimos algo mal"", dice Mike Vigil, ex jefe de operaciones internacionales de la DEA y quien participó en las investigaciones a Salvador Cienfuegos https://t.co/rD0NgpirnJ https://t.co/xXUw9e66y4",1,0,0
59,No endeudamos al país a pesar de la pandemia: AMLO https://t.co/JY8Gc29jSK https://t.co/OyCFicsTRY,1,0,0
60,"#AristeguiEnVivo | Ya estamos en directo con el doctor Alejandro Gertz Manero, titular de la @FGRMexico, para ampliar la información sobre el caso del general Salvador Cienfuegos https://t.co/wFxiBU6hM7 https://t.co/54SKCpyHcn",1,0,0
61,Lanzan la campaña 'Devuelve tu tanque. Por amor a la vida' para que la ciudadanía devuelva los tanques de oxígeno que rentó https://t.co/yStJOrOivI https://t.co/ErwUCDFIv3,1,0,0
62,Anabel Hernández cuestiona por qué gobierno de AMLO pagó la defensa de Cienfuegos https://t.co/V4W6d3jmcC https://t.co/YNzJeduVCi,1,0,0
63,"García Harfuch recibía 200 mil dólares mensuales de Guerreros Unidos: testigo
https://t.co/1ARN2rbgwz https://t.co/nIdNeeiA8l",1,0,0
64,"Gobierno de México dice que combate la corrupción, pero ahora defiende a un corrupto: Vigil | Entérate
https://t.co/88BOZfQbUa https://t.co/nFyEyG13PH",1,0,0
65,"En ningún momento ha sido rebasado el Sistema Hospitalario durante la pandemia: López-Gatell
https://t.co/md43bPJqaI https://t.co/hG4pVO7zXB",1,0,0
66,Cienfuegos bloqueó interrogatorios a soldados en caso Ayotzinapa: Anabel Hernández https://t.co/wnAUeclpam https://t.co/UYLGc7ju32,1,0,0
67,"López-Gatell no ha entregado el documento que prometió sobre semáforo de Covid-19: Aristegui
https://t.co/0z4Hs2RQlP https://t.co/Ax4L9AauuD",1,0,0
68,No siento que la gente se decepcione por caso Cienfuegos: AMLO https://t.co/qtS2gIy1cS https://t.co/aX1gFL2GOY,1,0,0
69,"#AristeguiEnVivo | Once personas fueron asesinadas en Celaya, Guanajuato; nueve de ellas estaban en un velorio. Se trata del saldo más cruel en tiempos recientes. Todos los detalles con @JavierBravoL, periodista en Guanajuato https://t.co/FhWBCwH2X6 https://t.co/uZLfSA1AT3",1,0,0
70,"TEPJF declara procedente bajar spot de Morena sobre vacunas contra el Covid-19
https://t.co/cMxWhC65Ta https://t.co/14qc9zaA1Y",1,0,0
71,Pregunta INE a Presidencia: ¿le paga a reporteros que cubren mañaneras? https://t.co/lcynEBYxYt https://t.co/uCusUeILZy,1,0,0
72,"Más de 25 millones se van a Telegram tras nuevas políticas de Whatsapp
https://t.co/Z8Wqca7bNF https://t.co/ZSgJIqLXvu",1,0,0
73,"Si no nos ayudas, no vamos a resistir: Personal médico | #Video
https://t.co/abnlU8AOgp https://t.co/thKat4CLv3",1,0,0
74,"Dos gorilas dan positivo por coronavirus en el zoológico de San Diego
https://t.co/KIl9pioFqm https://t.co/SS93rA6pgD",1,0,0
75,Reino Unido rompe el récord de nuevos contagios de Covid- 19 con casi 58 mil casos en un solo día https://t.co/0v05J5uBbM https://t.co/8JXuUZUly0,1,0,0
76,"Obtiene el mexicano Enrique Casarrubias una estrella Michelin en Francia
https://t.co/jVVHeGQlo8 https://t.co/IxwZZRSUMV",1,0,0
77,Detectan en Tamaulipas caso de nueva variante de coronavirus de Reino Unido https://t.co/RbxEsW6zc2 https://t.co/Z1RvdQGVuo,1,0,0
78,"#ExpedienteHarfuch | En octubre de 2020, la periodista Anabel Hernández accedió a documentos oficiales sobre el actual jefe de la policía en la capital, los cuales demostraban que reprobó los exámenes de confianza 👉 https://t.co/nFj1gIbTIM https://t.co/BXtbQ4WEHN",1,0,0
79,Regresa el Bisonte americano a territorio nacional: manada de Coahuila tiene 230 ejemplares https://t.co/dn32UlvrSZ https://t.co/KtjyTquWUo,1,0,0
80,"#LoMejordeAristeguienVivo | Hay fotos de violación de Félix Salgado a mujer: ex fiscal | Con Salgado, Acapulco se volvió madriguera de narcos: Anabel | #Video
https://t.co/3UtqyMX7pN https://t.co/TdiM0Dvgnt",1,0,0
81,Enfermero de California se contagia de Covid-19 a una semana de recibir vacuna de Pfizer https://t.co/ujLvUDuWFD https://t.co/DvCQNV8ksZ,1,0,0
82,"Es reprobable cualquier forma de censura, pero también es momento de preguntarnos si es pertinente que la política y el debate público sigan dependiendo de plataformas que no son patrimonio público, sino empresas privadas | Por @chamanesco 👉🏼 https://t.co/crOYBiRa4W https://t.co/NPaNdOFb50",1,0,0
83,"#AristeguiEnVivo | Esta mañana, el doctor Alejandro Gertz Manero, titular de @FGRMexico, conversará con Carmen Aristegui sobre la decisión de no ejercer acción penal contra el general Salvador Cienfuegos Zepeda.

Aquí puedes escucharlo: https://t.co/Yr4FpDQ4AE https://t.co/kyQcxpwBq4",1,0,0
84,"La senadora del PAN, Lilly Téllez, criticó el acuerdo para traer la vacuna rusa a México, pues aseguró que esta apenas está siendo analizada por la OMS https://t.co/AN5ftWqctB https://t.co/8nluzYY2iW",1,0,0
85,García Harfuch fue notificado de lo que pasó en Iguala; narcos decían que sobornaban a un 'Omarcito': Anabel Hernández https://t.co/SbnRP6lOE1 https://t.co/fZAospSks7,1,0,0
86,"Ganan comunidades yucatecas suspensión provisional contra Tren Maya
https://t.co/FHSoiXaFiR https://t.co/2PrVLGcNJp",1,0,0
87,"El 4 de abril debe suspenderse transmisión íntegra de conferencias de AMLO: Lorenzo Córdova
https://t.co/UkZx6ohCBB https://t.co/psfk4jRBJb",1,0,0
88,"Confirma AMLO que Cienfuegos es parte del consejo asesor de Luis Cresencio Sandoval
https://t.co/XA2VuUYH6v https://t.co/EJrgAC62Iz",1,0,0
89,"Walmart sí ofreció ayuda al gobierno para distribuir, no vender, las vacunas anti-Covid https://t.co/7O6VMPZWVF https://t.co/Zq24VJNrBA",1,0,0
90,Fiscalía de CDMX acusa al diputado Mauricio Toledo de enriquecimiento ilícito https://t.co/8ctgJxzam5 https://t.co/taafJzORSo,1,0,0
91,Descubren que las 'espinas' del coronavirus están cubiertas de azúcar | Video https://t.co/c9JiXfA0sD https://t.co/lLCUk1Mg9X,1,0,0
92,Difunden foto de AMLO trabajando; pacta con Putin envío de 24 millones de vacunas Sputnik V a México https://t.co/F2U38Cmgvy https://t.co/UI1hDOaEUO,1,0,0
93,"Suspende Twitter cuentas afines a AMLO; 'no permitimos spam ni manipulación', argumenta
https://t.co/1pZBh1PR1Z https://t.co/kLjxipJZVd",1,0,0
94,El teletrabajo debe ser pactado por ambas partes e implica pago de insumos: Alcalde https://t.co/ibqZ7V1YOr https://t.co/ckppQkgR6J,1,0,0
95,#AristeguiEnVivo | He dado instrucciones para que hoy mismo se emita un comunicado estableciendo que cualquier empresa o gobierno local que quiera adquirir vacunas tiene autorización. Sólo deberán anexan a la solicitud el contrato de adquisición: AMLO https://t.co/UwOCI7zn0G https://t.co/XJ0mL6wpUN,1,0,0
96,"Twitter suspendió el jueves a un número indeterminado de cuentas, pero lo que más llamó la atención en redes fue la baja de algunas afines al gobierno de Andrés Manuel López Obrador https://t.co/eR8CFGkKE4 https://t.co/SLmQe5jOPd",1,0,0
97,"Muere alumno por Covid-19 en el Hospital General de Ecatepec; UNAM retira a internos
https://t.co/btrUuB1Jze https://t.co/yeK5elg088",1,0,0
98,"Es ridículo señalamiento de AMLO, nosotros no inventamos pruebas: exdirectivo de la DEA https://t.co/CxnJkwAz63 https://t.co/u9StEVluL7",1,0,0
99,Hay prepotencia y arrogancia en fundador de Facebook al justificar censura a Trump: AMLO https://t.co/BF3hexZr1c https://t.co/yow4Jma2Wo,1,0,0
100,#ÚltimaHora Alemania exige a viajeros mexicanos y de otros 19 países prueba negativa de Covid-19 https://t.co/P6OADPnFyO https://t.co/b3xFT44s1a,1,0,0
101,"#LoMejordeAristeguienVivo | Existen pruebas contundentes contra Cienfuegos; se protege a un oficial corrupto: exdirectivo de la DEA | #Video
https://t.co/8vbJhUMK42 https://t.co/pFRTy6V44E",1,0,0
102,"Publicar expediente Cienfuegos viola tratado y pone en duda si EU compartirá información con México: Departamento de Justicia
https://t.co/5fBdBbhzEP https://t.co/D4bXj2aCNm",1,0,0
103,AstraZeneca y Pfizer dicen a gobernadores que no podrán venderles vacunas antes de diciembre https://t.co/bnC3DI3Iy6 https://t.co/GoAsj0dtyt,1,0,0
104,#ÚltimaHora Muere el periodista Larry King a los 87 años https://t.co/MxTyqlVwz1 https://t.co/RQbDFhJIVm,1,0,0
105,A empresas de energías limpias solo les interesa el lucro: AMLO https://t.co/GvcnhXziZu https://t.co/bGZrdv7CZZ,1,0,0
106,"Por privacidad, no revelaremos datos clínicos del presidente: López-Gatell
https://t.co/QZ6Nw7DmSD https://t.co/jrazBhPlg8",1,0,0
107,"Matan a 12 personas y dejan sus cuerpos a mitad de carretera en Las Choapas, Veracruz https://t.co/rqoQlEi1Zc https://t.co/jzvkBHMtZ2",1,0,0
108,Dan revés a Elektra por adeudo fiscal de 4 mil 900 mdp https://t.co/CeEj3opQdm https://t.co/glmXnaH4et,1,0,0
109,Un grupo de científicos publicó un trabajo de investigación que demostró que el azúcar juega un papel fundamental para que el virus SARS-CoV-2 sea capaz de camuflarse dentro del sistema inmunitario https://t.co/Va53kKynAV https://t.co/IfC7Zc8FSc,1,0,0
110,"Renuncia Miriam Veras Godoy, encargada del plan de vacunación contra Covid-19 https://t.co/1M2hvnPI0Y https://t.co/a4KcxDLK9y",1,0,0
111,"Despiden a directora de hospital que vacunó a su esposo | #Video
https://t.co/K7Foutlprg https://t.co/x94Umwj3Tb",1,0,0
112,"Anuncia AMLO vacunación masiva anti-Covid a partir del 12 de enero
https://t.co/XGPLnsltGU https://t.co/ExL863uIil",1,0,0
113,"#ULTIMAHORA La nieve colapsa Madrid y otras ciudades de España por una tormenta inédita | Fotos y vídeos
https://t.co/XNy2jzuoX3 https://t.co/paH1N1Dh4c",1,0,0
114,"Profeco llama a ciudadanía a devolver tanques de oxígeno que rentó
https://t.co/cCBibVntta https://t.co/1AvEIJ17pC",1,0,0
115,Enfermero de California se contagia de Covid-19 a una semana de recibir vacuna de Pfizer https://t.co/AYdXzSYd3T https://t.co/EibKDgiVsX,1,0,0
116,"¡Bravo! Policía de la CDMX regresa a joven mochila con 30 mil pesos que usaría para comprar un tanque de oxígeno | Video
https://t.co/mcFIihgaRA https://t.co/c9azf2EkUP",1,0,0
117,"Piden a Pence la destitución de Trump; es responsable de sedición: The Washington Post
https://t.co/cMQhqdsCH5 https://t.co/Q6EDsXwxHw",1,0,0
118,¿El chiste es darme en la madre? No me voy a dejar: fiscal Gertz al responder sobre caso Cienfuegos https://t.co/LdWQ3YracC https://t.co/mtl487tuuB,1,0,0
119,"Exhiben en redes a #Ladymevale por negarse a usar cubrebocas
https://t.co/eRGdacCb99 https://t.co/ge2J85isUB",1,0,0
120,Presume AMLO encuesta internacional que ubica a su gobierno como el segundo mejor evaluado https://t.co/lnJ8Ctewwp https://t.co/TZRs5RXDQ0,1,0,0
121,"Piden a Pence considerar la destitución de Trump de la Presidencia de EU
https://t.co/sWMF8o7BsF https://t.co/YiZoSDZGlD",1,0,0
122,"Hospitalizan por Covid-19 a Norberto Rivera Carrera, cardenal emérito de México https://t.co/y0CbHvazRg https://t.co/8kdVMUv3LJ",1,0,0
123,"Por amor a la vida, quien tenga un cilindro de oxigeno, que lo devuelva; hay enfermos que lo necesitan : Ricardo Sheffield https://t.co/cnowBXxVoQ https://t.co/Xqla0idbZ8",1,0,0
124,García Harfuch sabía lo que estaba pasando en Iguala con estudiantes de Ayotzinapa: Anabel Hernández https://t.co/i0w3qrjkii https://t.co/TPPW4Q4hnX,1,0,0
125,"Protesta sindicato de Capufe por falta de suministros sanitarios; han muerto 37 empleados por Covid | #Video
https://t.co/gPdQB4fQDB https://t.co/ZfZQnidOfr",1,0,0
126,#AristeguiEnVivo | Lo que dice el testigo coincide con lo que que reflejaba la información publicada desde 2014 donde era claro que el Ejército mexicano había estado monitoreando a los estudiantes desde que salieron de Ayotzinapa: Anabel Hernández https://t.co/YrmOT723xr https://t.co/fCB74hCSC8,1,0,0
127,"Legisladores de 3 partidos piden que renuncie López-Gatell; padece síndrome de Hubris: Romero Hicks
https://t.co/56C7OZTZok https://t.co/a9Nx56VWQ7",1,0,0
128,"#AristeguiEnVivo | El chiste es darme en la madre, pero yo no me voy a dejar: Alejandro Gertz Manero, titular de @FGRMexico 

Aquí 👉https://t.co/Yr4FpDQ4AE https://t.co/WO2FFtK6e9",1,0,0
129,El segundo año de la pandemia 'podría ser incluso más difícil': OMS  https://t.co/J6CUgHIN8h https://t.co/kEWrlT3r7l,1,0,0
130,"Así celebró equipo de Trump irrupción del Capitolio | #Video
https://t.co/RWTHGUiVCI https://t.co/XXA01wKsAy",1,0,0
131,Comienza la prohibición de ventas de plásticos desechables en comercios de la CdMx https://t.co/PWjW17ytsD https://t.co/bRVAHesnwI,1,0,0
132,"'Me están informando del fallecimiento de don Armando Manzanero, es algo muy triste, es un gran compositor, de lo mejor del país, además un hombre sensible también en lo social', expresó el presidente López Obrador durante la conferencia de hoy https://t.co/5AMIaRPDkj https://t.co/2P1iVCURxU",1,0,0
133,"Morelos: Desaparecen cuatro vacunas contra coronavirus en el hospital que opera Sedena
https://t.co/NbLQ5KdJ2Z https://t.co/qAlGGWpXud",1,0,0
134,"Representa un retroceso para la democracia quitar autonomía a los reguladores: IFT
https://t.co/x31gI6BRT8 https://t.co/UpSDDepSC7",1,0,0
135,Acepta México reducción de entregas de Pfizer para que países pobres tengan acceso: AMLO https://t.co/VlrQYaRppE https://t.co/fOvMEV5fqg,1,0,0
136,"#AristeguiEnVivo | Hace unos momentos, la oficina de Nancy Pelosi anunció que la próxima semana podrían empezar los procedimientos para enjuiciar a Trump por lo ocurrido en el Capitolio, informa @JJesusEsquivel, periodista en Washington https://t.co/rPWhjlxbT0 https://t.co/N25TKfFm1O",1,0,0
137,"Renuncia Bogart Montiel a la Dirección de Administración del INE; está acusado de irregularidades
https://t.co/utLHedw8hT https://t.co/IEhPfWCS5Y",1,0,0
138,"El subsecretario Hugo López-Gatell es especialista en pandemias, preparado y con cultura general. No creo que haya un funcionario en el mundo con estas características, dijo el presidente mientras presentaba el currículum del Subsecretario de Salud https://t.co/i8ueTsG98O https://t.co/o2siat9Zlu",1,0,0
139,"Separan del cargo temporalmente a médico que usó influencias para vacunar a su familia en Edomex
https://t.co/Q4s8F8Emi5 https://t.co/GGli50EpHT",1,0,0
140,Anuncia AMLO vacunación masiva anti-Covid a partir del 12 de enero https://t.co/xyr0wIp9gG https://t.co/gQ3VBNHOKS,1,0,0
141,"Vitamina D, resveratrol, trehalosa y metformina podrían reducir complicaciones de Covid-19 | Video
https://t.co/0Y1hNDaw4z https://t.co/Wa6cOuLXjh",1,0,0
142,"Twitter responde a AMLO: 'Ninguna persona es responsable, por sí sola, de nuestras políticas'
https://t.co/8fO8fA40hv https://t.co/StP5kQ6BXA",1,0,0
143,Comienza la prohibición de ventas de plásticos desechables en comercios de la CdMx https://t.co/PWjW17ytsD https://t.co/OUU2seJYSy,1,0,0
144,"Se han confirmado 16 mil casos de Covid-19 en bebés; 522 han fallecido
https://t.co/3wbPvsq7NN https://t.co/YSMimYa5xA",1,0,0
145,Condenada a cuatro años de prisión periodista china que informó sobre Covid desde Wuhan https://t.co/CmQ6pUAZ18 https://t.co/vG5x3zKXEx,1,0,0
146,China ofrecerá vacunas anti-Covid sin costo al público en general https://t.co/YySj6YUiaL https://t.co/lsGqvzRBu9,1,0,0
147,"El lunes, nuevos cargos contra Donald Trump para llevarlo a juicio político
https://t.co/3QJGi1jXBg https://t.co/7WZl5yE0Xb",1,0,0
148,"Carlos Villagrán, ‘Kiko’, se registra como precandidato a la gubernatura de Querétaro https://t.co/21NNTFvlZ3 https://t.co/bC6lo2vDCC",1,0,0
149,Córdova se hizo de la vista gorda ante fraudes e ilegalidades: AMLO https://t.co/yLr4S4LSuy https://t.co/tqIfPw7Jqf,1,0,0
150,#AristeguiEnVivo Nosotros no inventamos pruebas y evidencias. 'Es ridículo' que el presidente López Obrador diga que son acusaciones fabricadas por la DEA. '¿Cree el presidente que después de esto vamos a mandar a otros detenidos corruptos a México?: Vigil https://t.co/YnrXHdXZ6w https://t.co/Ch7A7R3R4t,1,0,0
151,"Hallan tumbas de niños de la elite inca de 500 años de antigüedad en centro arqueológico en Perú
https://t.co/P6ssBf0pXu https://t.co/Qq0Sa12E36",1,0,0
152,"Robert Plant, legendario vocalista de la banda Led Zeppelin, y gran aficionado al Wolverhampton Wanderers, obsequió al ""Lobo de Tepeji"",  Raúl Jiménez, un disco autografiado con el deseo de que se recupere de su lesión https://t.co/6pv3pnNU5S https://t.co/r47K92QuwV",1,0,0
153,"Fiscalía de Guerrero determina prescrita acción penal por presunta violación de Félix Salgado en 1998
https://t.co/yRN3GAxMVN https://t.co/yYtG0mky0U",1,0,0
154,Beatriz Gutiérrez Müller dio negativo a la prueba PCR de Covid-19 https://t.co/RXTpWPileI https://t.co/qlYaBkgWH8,1,0,0
155,Muere el médico personal del Papa por una neumonía debida a Covid-19 https://t.co/msDFtRF5Y2 https://t.co/Si8GhSLqDb,1,0,0
156,Existen pruebas contundentes contra Salvador Cienfuegos: exdirectivo de la DEA https://t.co/KWPSw5JiHu https://t.co/kWaIVOvTzB,1,0,0
157,"Nueva variante de coronavirus podría ya estar en México: López-Gatell
https://t.co/rRQKjpYOaA https://t.co/enwzUv8iGp",1,0,0
158,"Vitamina D, resveratrol, trehalosa y metformina podrían reducir complicaciones de Covid-19 | #Video
https://t.co/ch2M1VJ4HO https://t.co/zAe3ufytZ2",1,0,0
