,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
34,"Una mujer de blanco se apareció en medio de la carretera.
-Atropéllala, es un fantasma-gritó equivocadamente  su mujer.
La colisión destrozó el parabrisas. Ahora tenían una tumba que cavar y un secreto que los unía.

#PanicoSiniestro",Narratorio,TweetDeck,8,12
35,La llorona caminaba desconsolada mientras huían de ella. No sabían que se nada servía. Una vez que la escuchaban la desgracia los seguía hasta la tumba. #Panicosiniestro,Narratorio,TweetDeck,8,12
36,"Les costó determinar que el mismo asesino tenía dos modus operandi. Si estaba triste usaba un cuchillo, si estaba contento un martillo.",Narratorio,TweetDeck,8,19
37,"Miguel Ángel pasó a la historia gracias a su maldición, sus esculturas. Y es que, cada vez que tocaba a sus modelos, por mucho que lo intentara no podía dejar de convertirlos en piedra. #mismofinal",Narratorio,Twitter Web Client,7,19
38,"-Es cierto, no hay monstruos debajo de la cama- le dijo el hombre.- Nos escondemos detrás de las cortinas.
El único rastro que quedó de Luis fue una mancha de orina en su cama.
#panicosiniestro",Narratorio,TweetDeck,7,14
39,"-Dicen que aquí han visto a Elvis... espera un rato más, seguro que se aparece.
No imaginaban que el espíritu de Elvis estaba tan enfadado con los fans.

#PanicoSiniestro",Narratorio,TweetDeck,7,11
40,"-Espera, espera, ¿los viste en el bosque. besándose?
-O peleando, o matándose. Había demasiada pasión para saberlo a ciencia cierta.",Narratorio,TweetDeck,7,21
41,"-A mí no me gusta el fútbol.
Se hizo el silencio.
-¿Y qué haces entonces?
-Leo- dijo con timidez.
Todos rieron convencidos de que era una broma.",Narratorio,TweetDeck,7,22
42,"- Esos malditos políticos corruptos - se lamentaba detrás del mostrador mientras colocaba el imán para trucar la báscula.

#Monoficción",Narratorio,TweetDeck,7,12
43,"-No se puede estacionar aquí.
-Son dos minutos.
-Muévase.
-¿Y si le compro un helado?
-Pero que sea de fresa. Y de doble bola.

#Monoficción",Narratorio,TweetDeck,7,17
44,"-Papá hay un cocodrilo en el baño- gritó aterrado el niño.
-A veeer – se acercó arrastrando los pies, harto de los miedos irracionales de su hijo.
La potente mandíbula se cerró sobre sus piernas.
#panicosiniestro",Narratorio,TweetDeck,7,9
45,"-El bebé tenía frío y no dejaba de llorar- dijo la canguro justificándose.
Las manchas de sangre y restos que vomitó el microondas explicaban el resto.
#Panicosiniestro",Narratorio,TweetDeck,7,7
46,"-Ella me extraña.
-¿En los brazos de otro? 
- Pero, me dijo que... 
-¿Mientras le regala sus sonrisas, sus caricias y sus besos a otro? 
-Ella volverá. 
-Eres necio. 
-No, es... solo es... amor.",Narratorio,TweetDeck,7,12
47,"-Yo soy un niño bueno- decía con voz meliflua- Es ese monstruo dentro de mí el que me pide que te remate- le susurró a su mamá.

#PanicoSiniestro",Narratorio,TweetDeck,7,17
48,"-Feliz día de la madre - le dijo Luisito mientras sostenía frente a ella un ramo de orejas cortadas.

#PanicoSiniestro",Narratorio,TweetDeck,7,17
49,"Vestida de enfermera sensual entró en el cuarto de su amante para darle una sorpresa. A oscuras caminó despacio. Se resbaló con un líquido que había en el suelo. Era espeso, de olor cobrizo. La sorpresa se la llevó ella.",Narratorio,TweetDeck,7,9
50,"-¿Transplante de corazón? Usted está sano.
-Necesito olvidarla como sea.
#cuentosde10",Narratorio,Twitter Web Client,7,22
51,"-¡Calla!
-¿Qué?
-Alguien nos sigue.
-No es posible.
-Habla más bajo.
Temblaban juntos, bajo un sauce. 10 minutos después todo seguía igual.
-Ya se fue.
-¿Quién?
-La soledad.",Narratorio,TweetDeck,7,21
52,"Había sido caza demonios toda su vida, pero realmente quería dedicarse a vender helados en un carrito. Poco tardó en darse cuenta que rociar con agua bendita a los clientes, aunque fuera por instinto, no era bueno para el negocio.",Narratorio,TweetDeck,7,11
53,"Con el tiempo, el niño se dio cuenta que morir en el incendio fue lo mejor que le podía haber pasado. Le encontraba un gusto macabro a hacer arder hasta los cimientos las casas en las que colgaban su imagen.
#panicosiniestro",Narratorio,TweetDeck,7,9
54,"Las pequeñas gemelas agarraron a su madre de los brazos en mitad de la carretera.
-Aquí fue donde nos mataron.
-Pero ellas… ¿cómo sabéis?
-Somos ellas. Y tú te vienes con nosotras a cuidarnos. 
El chirrido de un camión frenando fue lo último que escucharon.
#panicosiniestro",Narratorio,TweetDeck,7,10
55,Comió el pastel con una sonrisa en los labios. No le importaba morir envenenada ni que lo hicieran los otros 300 invitados. El día de su boda pasaría a la historia. #panicosiniestro,Narratorio,TweetDeck,7,14
56,"Arrastraba las palabras y leía todo lo lento que podía. Sabía que en cuanto terminara la historia ese libro absorbería su alma como en la historia. 
#panicosiniestro",Narratorio,TweetDeck,7,16
57,"El último pétalo de la margarita se aferró con todas sus fuerzas para no tener que escuchar el trágico ""no me quiere"".",Narratorio,Twitter Web Client,7,15
58,"-No es que sea misántropo, es un hecho. La gente cuando llueve se vuelve estúpida, no sabe conducir. 
-¿Y cuando no llueve?-pregunta el psicólogo con la pluma en la mano. 
-Es igual de estúpida pero ocasiona menos accidentes.",Narratorio,TweetDeck,7,11
59,Los alienígenas tuvieron que bloquear whatsapp para que los humanos miraran al cielo y se dieran cuenta de que la invasión había comenzado.,Narratorio,TweetDeck,7,20
60,"Todo lo que escribía en ese libro se hacía realidad. ¿A quién se le ocurriría dejarlo en la sala común de los pacientes psiquiátricos peligrosos?

#panicosiniestro",Narratorio,TweetDeck,7,20
61,Le encantaba ver las películas solo en el cine. Esta vez tuvo que matar a una pareja para conseguirlo.,Narratorio,TweetDeck,7,8
62,"- Malditos parásitos - se quejaba arrastrando los pies para tratar de matalos. Los humanos se aferraban a los pies del gigante.
#panicosiniestro",Narratorio,TweetDeck,6,11
63,"Aquel martes en la piscina estabas demasiado amable. Sonreías, me sonreías... La tercera bebida sabía algo amarga pero no me preocupó hasta que sentí adormecerme. Me ataste una pesa al cuello para que me ahogara... ¿Y te quejas de que mi espíritu te atormente?",Narratorio,TweetDeck,6,12
64,El cuerpo humano al arder olía a cerdo quemado. El olor llegaba hasta la azotea. Mientras disparaba a todo aquel que se acercara al estadio en llamas se lamentaba de no haber llevado algo de comer. #panicosiniestro,Narratorio,TweetDeck,6,16
65,"El enterrador, harto de trabajar doble por culpa de los saqueadores de tumbas decidió esconderse en un ataúd y pedirle a un amigo que lo enterrara. No esperaba que decidieran cesar su actividad por unos días.
#panicosiniestro",Narratorio,TweetDeck,6,17
66,"Decidí un martes que nunca más miraría atrás. Así fue como, dos días después, me asaltaron.",Narratorio,TweetDeck,6,18
67,"Eran saqueadores de tumbas por tradición familiar hasta que se le ocurrió invertir el proceso: robar a sus vecinos y matarles después.
#panicosiniestro",Narratorio,TweetDeck,6,12
68,"Cavaba la tumba de la duquesa con euforia. Esperaba encontrar muchas joyas adornando su cadáver, no una vampira que se abalanzó sobre su cuello. 
#panicosiniestro",Narratorio,TweetDeck,6,19
69,"La OMS declaró el estado de urgencia en cuanto leyó las últimas investigaciones. El enamoramiento se producía por un parásito que se alimentaba del dolor de los humanos.
#panicosiniestro",Narratorio,TweetDeck,6,15
70,"- Los hombres solo buscan pasar un rato – se quejó con Juan. - Yo quiero algo serio, Marta. - Pues lee El origen de las especies de Darwin.",Narratorio,TweetDeck,6,22
71,"@CajonRelatos El lugar en el que había vivido toda mi vida se había convertido en una trampa mortal. Tuve que escapar a la fuerza, arrastrándome por un estrecho pasadizo. En mi agonía sentí unas manos enormes tirando de mí. Sentí que me cortaron y me dieron una nalgada. Y respiré. #MismoFinal",Narratorio,Twitter for Android,6,16
72,"-¿Quién te va a querer con esa cara quemada? Se rió ella.
-Los mismos que a ti- respondió lanzándole ácido a la cara. #MicroHorror",Narratorio,Twitter for Android,6,24
73,"-¿Escuchaste que en esta escuela las almas de la matanza están atrapadas?
-¿Qué matanza? Una sonrisa infantil se desvaneció tras la primera ráfaga de disparos.
#Panicosiniestro",Narratorio,TweetDeck,6,6
74,"-Lo siento pero lo nuestro no puede ser.
-pero llo te amo mi bida.
-No insistas, es peor.
Hay cielo, haber qué horror cometí?
#monoficción",Narratorio,Twitter for Android,6,12
75,"Todos sabían que sí decían tres veces su nombre en el espejo le invocaban y solo les esperaba una cruel muerte, así que casi todos se callaban al hacerlo dos veces. Por eso cambió la invocación, con una sola vez es suficiente. #Panicosiniestro",Narratorio,TweetDeck,6,9
76,"-¿No te asusta que Jason llegue siendo viernes 13?
-debería preocuparte más que estemos solos en el bosque y yo tenga este cuchillo. #Panicosiniestro",Narratorio,TweetDeck,6,7
77,"La puerta caprichosa lleva a infinidad de mundos. Casi nadie se ha percatado, piensan, simplemente, que es la entrada a una librería...",Narratorio,TweetDeck,6,17
78,"-¿por qué lleva maletas vacías? - le preguntaron en el control de seguridad.
-¿vacías? Están llenas de recuerdos.
#LimaFiccion",Narratorio,Twitter for Android,6,14
79,"Corría sin rumbo fijo huyendo de varios matones de su escuela. Las atronadoras pisadas de sus perseguidores cesaron de golpe cuando entró al callejón del Aguacate. Se frenó y sonrió por unos segundos. Solo por unos segundos. 
#panicosiniestro",Narratorio,TweetDeck,6,8
80,"-Mi amor, ¿me estás llamando tú al móvil desde casa?
-No.
-Llama a la policía, no estamos solos.
#Panicosiniestro",Narratorio,TweetDeck,6,7
81,"Al principio era divertido. Le llegó la foto con la imagen de Momo y empezaron a chatear. #Si no contestas a todas mis preguntas morirás”, y a modo de juego se escribieron durante horas hasta que Alan se quedó dormido. No amaneció.
#Panicosiniestro",Narratorio,TweetDeck,6,8
82,"-¿El libro está maldito porque está hecho de piel humana?
-No, porque leerlo condena a la raza humana.
#PanicoSiniestro",Narratorio,TweetDeck,6,20
83,"-¿En serio te crees que por jugar a un vídeojuego vas a suicidarte? Le escribió por Whatsapp.
Tras unos minutos de silencio, volvió a escribir.
-¿Martín? ¿Estás bien?
-¿Martín?
#PanicoSiniestro",Narratorio,TweetDeck,6,9
84,"-Oiga, ¿por qué hay huesecillos en mis nuggets? ¿No serán de rata?
-No creo, las envenenamos a todas hace días.
Extrañado volvió a su asiento sintiendo que su garganta se cerraba y su pulso se aceleraba.

#PanicoSiniestro",Narratorio,TweetDeck,6,8
85,"Nunca vi miradas de amor como las suyas. Él sonreía con cierta ingenuidad en ocasiones, cuando esa maldición llamada alzheimer le impedía reconocerla. 
-Soy yo, Casilda.
Entonces sus ojos brillaban. Nada fue capaz de hacerle olvidar su nombre.
#microjardines #EnEsteJardín",Narratorio,Twitter Web Client,6,17
86,"La esquizofrénica bailarina se creía que el mundo era un escenario. Bailaba en el metro, en la calle incluso en los restaurantes. Repartía tanta belleza que nadie se atrevía a recetarle un antipsicótico. #asilooscuro",Narratorio,Twitter Web Client,6,14
87,"- El martes por fin llegará y se cumplirá la profecía. Los tanques se convertirán en estanterías de libros, los soldados en payasos y las balas en flores. Ya no habrá más guerra.
- ¿Y mamá? ¿Mamá volverá?",Narratorio,TweetDeck,6,10
88,"-¿Qué le decimos a los medios?
-La historia del lobo solitario nunca falla. ¿Ya tenemos a X12 controlado?
-Sí, señor. ¿Y la periodista que sabe de nuestro programa de supersoldados? Atará cabos.
-Envía a X27. Que parezca un accidente. #panicosiniestro",Narratorio,TweetDeck,6,11
89,saliò de la càrcel tras 30 años con sus casetes. En cada uno estaba el nombre de una persona. Todos se reían de él pero no les hacía caso. ¿Tecnología obsoleta? Nada mejor que su cinta magnètica para estrangular a alguien.  #Monoficción,Narratorio,Twitter Web Client,6,11
90,"-¿Secreto? A puerta cerrada nadie ve nuestra ropa abrazándose en el suelo, son tus gemidos de placer los que nos delatan.

#jueverotic",Narratorio,Twitter Web Client,6,13
91,"Aquella noche fueron tres los idiotas: el que compró una granada por internet. El que la llevó a una fiesta para ser la sensación, y el escéptico que pensó que todo era una broma y tiró de la anilla. #panicosiniestro",Narratorio,TweetDeck,6,13
92,La princesa estaba preocupada. Hacía meses que ningún caballero acudía a rescatarla y su adorado dragón estaba ya en los huesos.,Narratorio,TweetDeck,6,18
93,"Le amaba de la misma forma que le odiaba. Le usaba para llenar su vacío, para apaciguar su miedo, para evadir a la soledad, y se preocupaba de cubrir sus necesidades. Después le odiaba y le alejaba de su vida. Le bloqueaba para extrañarle, le buscaba para herirle. #Monoficción",Narratorio,Twitter Web Client,6,9
94,"Los cuerpos se amontonaban en la puerta, que atrancada, no cedió a sus intentos por escapar. Ahora eran solo uno, formaban parte del señor oscuro, y su condena era la vitalidad que le permitiría acabar con el mundo. #panicosiniestro",Narratorio,TweetDeck,6,12
95,Luché un martes contra la invasión extraterrestre. Era miércoles cuando me ingresaron en el psiquiátrico.,Narratorio,TweetDeck,6,13
96,"@AsiloOscuro @raskolnik68 @JFranciscoMR1 @dd_hidalgo @jardindebonsais @notasmedianoche @AllegraLunaW @DeghemteriSoto @Olga_Lafuente @Ikormar @rutasparalelas @365Microcuentos @EliseoCardomo @EvilOdradek @macogarciap @bazarmonedas @ElenaSilesB @psicosisred_ @buho_net @rey_g En el teatro yacía inerte don Juan Tenorio, presa de su obsesión por meterse en la piel de su personaje. Que sedujera a la mujer del director y de tres actores complicó la investigación. #AsiloOscuro",Narratorio,Twitter for Android,5,9
97,"@jardindebonsais -Bésame - le dice ardorada, con sus brazos rodeándole el cuello, su mirada fija en la de él.
-Déjame hacer algo mejor, hagamos que esta noche sea eterna- susurra mientras bailan en una sala en penumbra, con un saxo revolucionando sus corazones.
Le clava los dientes en la yugular.",Narratorio,Twitter Web Client,5,7
98,"@AsiloOscuro @CajonRelatos @jardindebonsais @uncaosbonito @buho_net @ElenaSilesB @DagmarSola @Gamacupe @JJ_Kastle @informatifarero @amtrocoli @CaleidoscopioHi @vivilumo @InannaStM @Ninodlaspoesias @herrera_fk @autoextinguible @A1varoLopez @quementari @PhoenixTWright Corría por la casa vestido de marinero. ¡Manuel! Le gritó Susana. Él saltó sobre el sofá. ""Con las personas es maravilloso, pero con los perros..."" continuó. Manuel les miraba, con  la ilusión de ser un niño #mismofinal",Narratorio,Twitter for Android,5,7
99,"@CajonRelatos Dedicó su vida a atesorar las historias de Superhéroes. Murió a los 83 amando a Hulk. Lo que no esperé fue que lo llevará hasta el final, en su ataúd pintado de verde. Me sorprendió vestido de traje. #mismofinal",Narratorio,Twitter for Android,5,7
100,"@AsiloOscuro Cada noche recorría las filas vikingas para lamer sus armas y limpiarlas de sangre. Pronto le supo a poco y se adentró en abadías, conventos y templos. Fenrir disfrutó del sabor de los dioses occidentales. #asilooscuro",Narratorio,Twitter Web Client,5,7
101,"@DagmarSola Escuchas un goteo desde hace cinco minutos que te intranquiliza.
-¿Será la niña del hacha?
-No creo- le respondo.- Cuando la colgué de la viga del desván no le quedaba sangre.
#CuentoDS",Narratorio,Twitter Web Client,5,7
102,@AsiloOscuro @CajonRelatos @jardindebonsais @uncaosbonito @buho_net @ElenaSilesB @DagmarSola @Gamacupe @JJ_Kastle @informatifarero @amtrocoli @CaleidoscopioHi @vivilumo @InannaStM @Ninodlaspoesias @herrera_fk @autoextinguible @A1varoLopez @quementari @PhoenixTWright Colgaba de un poste desde hacía días y todos le escupían al pasar a su lado. Durante meses había secuestrado una docena de niños que se había comido con  La ilusión de ser un niño #mismofinal,Narratorio,Twitter for Android,5,5
103,"Se santiguó tres veces antes de que el deseo ganara la partida. Ya tendría tiempo de arrepentirse después, la tentación esperaba.",Narratorio,TweetDeck,5,7
104,"La vacuna contra las matemáticas tenía sus efectos secundarios, como creer que la tierra era plana, desarrollar pasión por el reggaeton y por las bromas de los youtuber... ¿o eran causas que invitaban a administrarse el letal remedio? #locosinfinitos",Narratorio,Twitter for Android,5,6
105,@AsiloOscuro @raskolnik68 @JFranciscoMR1 @dd_hidalgo @jardindebonsais @notasmedianoche @AllegraLunaW @DeghemteriSoto @Olga_Lafuente @Ikormar @rutasparalelas @365Microcuentos @EliseoCardomo @EvilOdradek @macogarciap @bazarmonedas @ElenaSilesB @psicosisred_ @buho_net @rey_g Todos buscaban al protagonista de Macbeth para felicitarlo tras una actuación que pasaría a la historia. En el teatro yacía inerte. El diablo quiso hacer efectivo el pacto sin demora. #AsiloOscuro,Narratorio,Twitter for Android,5,10
106,En su infinita maldad dios creó una legión de ateos porque le encantaba esa sensación cuando pronunciaba: te lo dije.,Narratorio,TweetDeck,5,18
107,"-¡Es una bruja!-gritó su marido en la plaza delatándola.
-Y tú pendejo, y nadie dice nada.
Todos los aldeanos asintieron en silencio.",Narratorio,TweetDeck,5,16
108,"@AsiloOscuro @CajonRelatos @jardindebonsais @uncaosbonito @buho_net @ElenaSilesB @DagmarSola @Gamacupe @JJ_Kastle @informatifarero @amtrocoli @CaleidoscopioHi @vivilumo @InannaStM @Ninodlaspoesias @herrera_fk @autoextinguible @A1varoLopez @quementari @PhoenixTWright María le lanzó una piedra, se subió sobre Daniel y comenzó a golpearlo. Sí mamá decía que era porque le gustaba. En realidad se dejaba llevar y se le desbocaba la ilusión de ser un niño #mismofinal",Narratorio,Twitter for Android,5,6
109,"-Un martes perdido en una isla.
-¿Esa es tu fantasía?
Asintió sin atreverse a decir que su fantasía era que ella le acompañara.",Narratorio,TweetDeck,5,12
110,"¿En tu planeta solo se vota cada cuatro años? Preguntó el alien. – Sí, el resto del tiempo nos mantienen entretenidos. Gusta mucho el fútbol",Narratorio,TweetDeck,5,14
111,"Atado en el sótano de la vecindad, trataba de liberarme sabiendo cuál sería mi final.
-La del puesto de la esquina descuartizó a su marido e hizo tamales con él, ten cuidado y no andes con su hija – me advirtió Luis varias veces.
#panicosiniestro",Narratorio,TweetDeck,5,6
112,"-Sube, que te llevo, hermosa.
Ella caminaba por el arcén y le pareció que un ancianito vestido de charro en un Cadillac negro no supondría ningún peligro. No imaginó que el charro negro se había modernizado.
#Panicosiniestro",Narratorio,TweetDeck,5,7
113,"Me dejaste un lunes y escribí un martes la lista de la compra: 
-Cinta.
-Bolsas negras.
-Hacha.
Y sólo por eso sospechan de mí.
 #martesmge",Narratorio,Twitter Web Client,5,11
114,"Julieta despertó mareada, desvestida. De inmediato supo que Romeo había puesto una droga en su copa y, por el dolor de su cuerpo, que la habían violado. Él, ajeno a todo, no vio el lamparazo que le dejó sin sentido. Despertó maniatado. 
-Es mi turno - dijo Julieta.
#wordtober6",Narratorio,Twitter Web Client,5,12
115,"-Entonces, ¿cómo acabó dentro de su cuerpo?
-Verá...-inició con la cara cada vez más roja.- La botella me llamaba. Lo juro. Con una voz hipnótica, aterciopelada. No tuve más remedio que obedecer. La abrí, la bebí de un trago y...
-Ahí se coló el genio.
- Sí. 😳
#CuenTober",Narratorio,Twitter Web Client,5,11
116,"En un gesto de amor, salta al escenario y quitándole el micrófono al cantante favorito de su novia para pedirle matrimonio. Ella se tapa la cara con la mano, el equipo de seguridad le augura una paliza. Mientras, la multitud ruge furiosa. #mismofinal",Narratorio,TweetDeck,5,9
117,"El apocalipsis se convirtió en la panacea para los asesinos en serie. Ya no tenían necesidad de andarse escondiendo.

#panicosiniestro
#apocalipsis",Narratorio,TweetDeck,5,12
118,"-¡Eres un pendejo!-le gritó a su hijo
- Cuestión de genética-se defendió.",Narratorio,TweetDeck,5,13
119,#psicosisred https://t.co/KeKBgn3sXN,Narratorio,Twitter for Android,5,9
120,"Cuando colapsó la civilización todos se escondían atemorizados. Su mayor peligro eran los otros humanos.
#panicosiniestro
#apocalipsis",Narratorio,TweetDeck,5,12
121,"@AsiloOscuro Fenrir disfrutó del sabor de los dioses, pero acabó cansándose de comer lo que le daban y empezó a preguntarse a qué sabrían sus manos. Ahora son su presa favorita

#asilooscuro",Narratorio,Twitter Web Client,5,8
122,-No lo pude evitar - reconoció el fantasma decapitado. - Es tan hermosa... No pude evitar perder la cabeza por ella.,Narratorio,TweetDeck,5,5
123,Cada noche seducía a una mujer diferente.Cada mañana se levantaba aún más vacío que el día previo; un cascarón temeroso de amar,Narratorio,TweetDeck,5,20
124,"-Se trata de un error. Revisé de nuevo.
-No señora, su marido sobrevivirá.
-Pero me dijeron que era un veneno infalible. #monoficción",Narratorio,Twitter for Android,5,14
125,Le llamaban mujer florero pero realmente era musa de escritores.,Narratorio,TweetDeck,5,13
126,El martes en la oficina me sirvió para sacar mi rabia reprimida. También para descubrir que la carne humana sabe mejor que la de cerdo.,Narratorio,TweetDeck,5,14
127,"La observaba desde hacía 15 minutos sentada en el autobús. Había memorizado la comisura de sus labios, la recta línea de su nariz y su sinuoso cabello recortando sus mejillas. Era su esperanza. Ante el primer ademán de levantarse se lanzó a ocupar su asiento.
#Wordtober11",Narratorio,Twitter Web Client,5,6
128,"No te metas con mis letras, le dijo, y él, preocupado, se preguntó cómo podría seguir escribiendo sin la T la E, la A, la M y la O.",Narratorio,TweetDeck,5,11
129,"-Dicen que, si te asomas, en la noche el fantasma de la señora O'Neill viene a buscarte.
-Qué bobada - le respondió, y metió medio cuerpo en el pozo.
De un leve empujón cayó dentro encontrándose con los otros 7 jóvenes de su instituto desaparecidos. #PanicoSiniestro",Narratorio,TweetDeck,5,12
130,"Alguien la seguía desde el metro. Cuando pasó a su lado María le hundió una llave en el cuello.Le encantó su cara de sorpresa.
#psicosisred",Narratorio,Twitter for Android,5,14
131,"Compartimos un cigarro que sabe a ti. Las volutas se desdibujan en un aura de pasión desenfrenada que vicia el aire. Mis yemas acarician tu espalda; tu cabeza protege mi corazón, que aún late desenfrenado. El tiempo se ha detenido para observarte entre mis brazos.",Narratorio,TweetDeck,5,10
