index,Texto,Texto limpio,Categoría
1604,“Comenzaste robándome una sonrisa y terminaste robándote mi corazón”.,reportan morelos siete asesinatos solo día,Frase/Pensamiento
2020,"Admítelo. Tienes ganas de ver esa persona, abrazarla y nunca soltarla.",trump soltó correas huestes pence ricardo raphael,Frase/Pensamiento
3782,20 libros imperdibles durante 2021 https://t.co/IDLnE4rJ92 https://t.co/PRHqY0Xwsv,ama locura despierta ganas sonríe motivos abraza esperanzas vive cada día si último,Noticia
7140,"Aquel verano aprendí que el amor duele pero, necio, lo olvidé al conocerte. #juevesconcuento",aquel verano aprendí amor duele necio olvidé conocerte juevesconcuento,Microficción
7487,"@megustaescribir Un martes perdido en una isla, la de tu tristeza, te convencí de que podíamos navegar juntos hacia un continente llamado felicidad. Bordeamos las costas durante meses, invencibles, imparables, hasta que un día desperté y habías zarpado sin mí. #martesmge",megustaescribir martes perdido isla tristeza convencí podíamos navegar juntos hacia continente llamado felicidad bordeamos costas meses invencibles imparables día desperté zarpado martesmge,Microficción
766,"A veces Dios no cambia tu situación, porque quiere cambiar tu corazón.",secretario gobierno cdmx vuelve dar positivo covid19 tuit,Frase/Pensamiento
7438,"Era en las noches cuando tu piel sabía mejor, cuando nuestros gemidos adquirían mayor sentido y profundidad, cuando nuestros cuerpos se estremecían antes de que el sol nos devolviera el pudor, los prejuicios, la realidad. #jueverotic",noches piel sabía mejor gemidos adquirían mayor profundidad cuerpos estremecían sol devolviera pudor prejuicios realidad jueverotic,Microficción
7398,"Había dejado suficientes mensajes para todo aquel que quisiera socializar pero solo una persona contestó. Durante meses intercambiaron notas escondidas en la rendija de un banco en el parque, hasta que descubrió que se escribía con su hermano.

@siqueimporta",dejado suficientes mensajes aquel quisiera socializar solo persona contestó meses intercambiaron notas escondidas rendija banco parque descubrió escribía hermano siqueimporta,Microficción
1817,"""Te observan, te critican, te envidian y al final te imitan.""",moodys ve posible recuperar corto plazo empleos perdidos pandemia,Frase/Pensamiento
3289,"#AristeguiEnVivo Faltan 15 días para que termine el plazo que la FGR solicitó sobre el proceso de Emilio Lozoya y el archivo está incompleto; falta respuesta de siete países a los que han solicitado información: Andrea Cárdenas, periodista de @quintoelab 👉https://t.co/nNItkud2Gj https://t.co/oalX1caF2z",gusta saber verdad aunque duela,Noticia
7642,Aquel martes cruzamos a nuestros perros. No sé de qué raza era el tuyo realmente pero hoy puedo decirte que de la Tierra no es.,aquel martes cruzamos perros sé raza realmente hoy puedo decirte tierra,Microficción
4640,"#Deportes: ""A los que nos gusta competir, la presión nos encanta"": Santiago Solari | Video https://t.co/q5Vao9zuvj https://t.co/eUg5xOj23v",veces encariñas persona menos merece,Noticia
6301,"-Si te arrepientes el Señor te perdonará.
Cinco años después, en el infierno, constató que no era verdad.

#PanicoSiniestro",si arrepientes señor perdonará cinco años después infierno constató verdad panicosiniestro,Microficción
3551,"Coloca México 3 mil mdd en mercados de Asia y Europa
https://t.co/zvkoY9B6vh https://t.co/8ls2XHKA5z",amor debe ser café veces fuerte veces dulce veces solo acompañado nunca debe frío,Noticia
1524,"""Todos hablan, pocos a la cara.""",aristeguienvivo presentamos confirmación aspiración alcaldía monterrey intención contender candidato ciudadano meses serie ataques familia colosioriojas,Frase/Pensamiento
3560,"#AristeguiEnVivo 'Yo no le doy certificado de buena conducta a nadie. Yo persigo delitos que se denuncian con suficientes datos de prueba y que son competentes para la institución, los litigo ante los tribunales y gano los juicios... a veces': Gertz Manero https://t.co/fu0IpcxDhE https://t.co/CvOyCfwmte",si importa piense gente diste primer paso éxito,Noticia
4190,"Hoy en OMNIA: Medidas sanitarias, incluida la reducción del aforo, deberían ser las únicas restricciones a restaurantes de la CdMx. @canirac @Claudiashein TAMBIÉN: Manzanero, su última grabación con @RodrigoDLCadena y cómo miraba su muerte el compositor
https://t.co/gxyYpHnuSr https://t.co/uNzRhQ9GlP",si duele todavía importa,Noticia
2973,Trump reacciona al bloqueo de Twitter desde @POTUS; acusa coordinación de la red social con demócratas https://t.co/8Lsl9p8hOg https://t.co/GcvfRcyaBH,empieza jugando termina gustando,Noticia
2290,"Renuncian integrantes del equipo de Trump y Melania
https://t.co/yHHczIOE9G https://t.co/PjnHO5RwaI",biden debe superar enorme polarización eu olga pellicer,Noticia
6424,"“Todo comenzó cuando cayó la última hoja”. Se miraron a los ojos con fiereza y sus espadas chocaron. Tras varios minutos de combate cayó un copo de nieve y para alivio de ambos, la lucha a muerte quedó aplazada hasta la primavera.",comenzó cayó última hoja miraron ojos fiereza espadas chocaron tras varios minutos combate cayó copo nieve alivio ambos lucha muerte quedó aplazada primavera,Microficción
4542,Cifra de mortalidad extendida permite conocer el verdadero efecto de la pandemia: analista de datos https://t.co/sRrRw9KhPr https://t.co/XHHZqiDChF,único obstáculo mismo si crees puedes lograr nunca conseguirás buenos días,Noticia
5447,"Se licenció con deshonor, repudiado por sus compañeros que se reían de su mala puntería. Fue el único piloto que logró dormir tranquilo al regresar a casa.",licenció deshonor repudiado compañeros reían mala puntería único piloto logró dormir tranquilo regresar casa,Microficción
4547,#AristeguiEnVivo | Sobre Tabasco: Hemos colaborado con el presidente López Obrador y otras instancias en el mejoramiento urbano y nos estamos enfocando en el tema de planeación.  Trabajaremos también en el tema de prevención: @MeyerFalcon  👉 https://t.co/kYEDpO0unc https://t.co/tp9xflNKfj,si alguien quiere vida pone allí deberás peleando puesto,Noticia
4105,4 libros básicos de Patricia Highsmith (1921-1995) https://t.co/LdzziZhoR5 https://t.co/XdXdeuBMON,nunca decepciones ama verdad,Noticia
4498,NFL Playoffs: Aplastan Santos a Osos en el Superdome https://t.co/nARIDRjlHt https://t.co/lPqr0Yk9qE,pesar siempre razones ser feliz,Noticia
5771,"Elijo el gran angular para inmortalizar el momento.
-Pero sonríe- le digo mientras acaricio la comisura de sus labios, manipulándola.-Así está mejor.
Al terminar la sesión la dejo en una iglesia. Mañana volverá a ser noticia el asesino del confesionario.
#CuenTober",elijo gran angular inmortalizar momento sonríe digo mientras acaricio comisura labios manipulándolaasí mejor terminar sesión dejo iglesia mañana volverá ser noticia asesino confesionario cuentober,Microficción
7080,"- No, Ariel, no hagas eso - le amonestó Sebastián. La sirenita, harta de sus críticas se lo llevó a la superficie y lo cocinó a las brasas.",ariel hagas amonestó sebastián sirenita harta críticas llevó superficie cocinó brasas,Microficción
3317,Trump se puso la soga al cuello: Esquivel https://t.co/OKlLfgwkMj https://t.co/B29MHUhx82,algún día diré fácil logré,Noticia
4328,"Crecerá el PIB 3.5% este año: IMEF
https://t.co/xSKsKBF53i https://t.co/2sIMzmjfkM",letras canso leer,Noticia
4811,"En las últimas décadas, ha bajado el ritmo de crecimiento de la población: Santaella https://t.co/GdHZVbZtd5 https://t.co/pxkUycJpHK",pensar vivir,Noticia
1688,"El único final feliz que conozco es el fin
de semana.",regalar cubrebocas establecer normas espacios públicos crear comité vigile vacunación proponen salud,Frase/Pensamiento
5313,"""El martes por fin llegará"" musitas mientras das vueltas por tu minúsculo cuarto. Sientes miedo, pero también alivio. Ocho años esperando con la espada de Damocles sobre ti. Ocho años angustiosos, tristes, melancólicos. - Preso 8127, su última cena.",martes fin llegará musitas mientras das vueltas minúsculo cuarto sientes miedo alivio ocho años esperando espada damocles ocho años angustiosos tristes melancólicos preso última cena,Microficción
6048,Tuvo que aprender por las malas que no podía chatear con su novia mientras se afeitaba cada mañana.  #Monoficción,aprender malas podía chatear novia mientras afeitaba cada mañana monoficción,Microficción
4669,Rally Dakar 2021: Se impone Nasser Al-Attiyah en la segunda etapa https://t.co/5Q8vXTbYdB https://t.co/I958r2VTed,chicas enamoran escuchan chicos ven chicas maquillan chicos mienten wiz khalifa,Noticia
4726,Descarta Mesut Özil volver a la Bundelisga y con la Selección de Alemania https://t.co/yC4QVFGok9 https://t.co/UsbwlHXUbZ,primer beso da ustedes creen,Noticia
7090,"@MarinMpv Conclusión: si señalas al cielo voy a mirar a la luna, no a tu dedo. Es decir, interpretaré tu elipsis.",marinmpv conclusión si señalas cielo voy mirar luna dedo decir interpretaré elipsis,Microficción
329,"""Siempre habrán recuerdos que nos llenen el rostro de sonrisas.""",muere posible portador variante virus covid19 detectado nl video,Frase/Pensamiento
1323,"""Quiero estar contigo, no ahora, ni un rato, ni siquiera varias horas. Quiero estar contigo, así de simple. Así de siempre.""",cineteca nacional cumple años videonota,Frase/Pensamiento
3990,Entregan 980 Condecoraciones Miguel Hidalgo Grado Placa a Hospitales Covid https://t.co/fdvVckJqiO https://t.co/d9knkZm3GD,tres cosas vida van regresan jamas palabras tiempo oportunidades,Noticia
4764,"#FelizViernes | Sigue la transmisión completa de #AristeguiEnVivo 👇
https://t.co/lPoAfIQ3ay",vale pena vivir tampoco vale morir si contigo,Noticia
756,"""Serás feliz me dijo la vida, pero primero te enseñaré a ser  fuerte.""",inicia gira ricardo anaya acarreo maíz,Frase/Pensamiento
1269,"""A quien critique mis pasos, le presto mis zapatos.""",peso mexicano cae rompe barrera dólar bmv toca mejor nivel dos años,Frase/Pensamiento
3125,UE pide a AstraZeneca que publique contrato de vacunas en medio de disputa por suministros https://t.co/M4ynFynrgq https://t.co/blBrmO0jXK,desahogarte final acaba ahogando,Noticia
1169,"""La mejor venganza es una sonrisa en frente de quien te hizo sufrir.""",familiares víctor yodo defensor desaparecido hace años exigen fgr atraer caso,Frase/Pensamiento
116,"""Ríe, y el mundo reirá contigo. Llora, y llorarás solo.""",amor vida cilindro oxigeno devuelva enfermos necesitan ricardo sheffield,Frase/Pensamiento
4530,Biden debe superar esta enorme polarización en EU: Olga Pellicer https://t.co/e9K2KDE7iQ https://t.co/BblLQ26806,quiero,Noticia
3542,Mayoría de personas encontradas en fosas son jóvenes que pierden la vida en enfrentamientos: AMLO https://t.co/JcdksiyNcQ https://t.co/cIinIQBHRk,si mañana voy triste así hoy voy ser feliz,Noticia
2995,Descartamos consulta sobre aborto porque es una cuestión de derechos: Diputada argentina https://t.co/ImG3Vzh2Na https://t.co/Me8woJ3IwN,pasas vida esperando pase final único pasa vida esperes haz pase,Noticia
408,Lo que pienso:             Lo que digo: https://t.co/bP6Z7EjR8W,méxico casa billones aves migratorias invierno unam videonota,Frase/Pensamiento
2474,"Detienen a dos enfermeros por presuntamente robar vacunas en hospital de Morelos
https://t.co/ZRutG4SH2v https://t.co/MhQU9Pq1w7",eduardo antonio parra recibe premio bellas artes narrativa colima obra publicada,Noticia
835,"""Tener ahora mismo a kilómetros a quien quisieras tener a centímetros.""",calcinan tres personas temixco suman siete asesinatos lunes morelos,Frase/Pensamiento
3543,"Oficialmente, el 2020 está quedando atrás.
https://t.co/yTSoYLEfcf",fingir día quebrarse noche,Noticia
6960,"El martes saldré a la calle para asustar a todos. Correré entre sus piernas, chillaré histérico haciéndoles huir, me da igual que sean gigantes, yo soy el digno descendiente del rey de las ratas.
#martesmge",martes saldré calle asustar correré piernas chillaré histérico haciéndoles huir da igual gigantes digno descendiente rey ratas martesmge,Microficción
3720,Probable apertura de restaurantes y la vacuna no salvará a la economía | #ColumnasFinancieras de este lunes https://t.co/C97iHGO3Wf https://t.co/agiwltBL56,necesito abrazo palabras hacen sentir bien,Noticia
5195,"-Mamá, dice Cristina que soy un alien.
-Cristina, ven aquí. ¿Por qué le dices eso?
-Es verdad, salió de tu barriga.
-Ve a jugar, Carlos, no hagas caso. 
-Cristina, juramos que nunca diríamos nada, imagina si se entera tu papá.",mamá dice cristina alien cristina ven aquí dices verdad salió barriga ve jugar carlos hagas caso cristina juramos nunca diríamos imagina si entera papá,Microficción
5408,"Escritor y editor, en bares diferentes, se lamentaban solos, borrachos y deprimidos porque su contraparte no le entendía. #MTintachida",escritor editor bares diferentes lamentaban solos borrachos deprimidos contraparte entendía mtintachida,Microficción
5128,@AsiloOscuro Nyarlathotep viene a visitarte le dijo la voz de su secretaria desde el intercomunicador. Se arregló la corbata y se puso de pie para recibirle. La confabulación de los banqueros seguía adelante. #asilooscuro,asilooscuro nyarlathotep viene visitarte dijo voz secretaria intercomunicador arregló corbata puso pie recibirle confabulación banqueros seguía adelante asilooscuro,Microficción
5618,Siempre mantuvo la rutina de recordar cómo arrugabas la nariz cuando sonreías. #juevesconcuento,siempre mantuvo rutina recordar cómo arrugabas nariz sonreías juevesconcuento,Microficción
6885,"Me puse los zapatos un martes, en el rellano, para no despertarte con el sonido de mis pasos. Aún con olor a ti, me dirigí a mi casa para, sin darle explicaciones a mi marido, meterme en la bañera y soñar con mi próxima conquista, con otra vida.",puse zapatos martes rellano despertarte sonido pasos aún olor dirigí casa darle explicaciones marido meterme bañera soñar próxima conquista vida,Microficción
2429,"UNAM pone a disposición de autoridades 20 ultracongeladores para vacunas anti-Covid | #Videos
https://t.co/sazvjvlMbo https://t.co/ph2DqZDUFT",rally dakar impone nasser alattiyah segunda etapa,Noticia
6024,"Sabiendo que al copular morirían, Los unicornios decidieron extinguirse en una macroorgía repleta de arcoiris. #Jueverotic",sabiendo copular morirían unicornios decidieron extinguirse macroorgía repleta arcoiris jueverotic,Microficción
3088,"México evalúa posible adquisición de vacuna rusa contra Covid-19
https://t.co/8rvmYsY26P https://t.co/yeg7k8um9V",pienso debería,Noticia
1510,"""Cada día de nuestra vida estamos creando nuestro destino.""",suspenden siembras ejidatarios oriente morelos escasez agua,Frase/Pensamiento
2350,"Piden a Pence la destitución de Trump; es responsable de sedición: The Washington Post
https://t.co/cMQhqdsCH5 https://t.co/Q6EDsXwxHw",recuerdan joven regiomontano años desaparición,Noticia
3746,"Armin Laschet, el primer ministro de Renania del Norte-Westfalia, sucederá a Merkel al frente de CDU  https://t.co/tLJtYUXwiE https://t.co/H80WOLUAl3",imaginas llegue mensaje diciendo extraño,Noticia
4765,"NFL: Cortan alas a Doug Pederson en Filadelfia | Tuit
https://t.co/N4wKCOMBDb https://t.co/3oCbPVrXlF",observo duele callo sonrío,Noticia
3621,"#AristeguiEnVivo | El Consejero Presidente del INE, Lorenzo Córdova, afirmó que nunca propuso suspender las conferencias matutinas del presidente López Obrador. Reiteró que debe hacerse durante las campañas electorales. Detalles con @buenasrazones 👉 https://t.co/W8LDBiJBSY https://t.co/mtdjeJWN8N",vida perfecta agradecido,Noticia
3775,El canciller @m_ebrard da negativo en la segunda prueba PCR para detectar Covid-19 https://t.co/6XL32EFgBJ https://t.co/aoNPPyMyCp,madurar aceptar cosas volverán ser,Noticia
973,No vuelvo a presumir a nadie hasta que falte un día para la boda.,detienen dos mujeres alterar escena asesinato aristóteles sandoval,Frase/Pensamiento
7013,"-Amor, perdón, fue un error
-Cogerte a mi mejor amiga
-Sí
-Supongo que quemar tu playera firmada por C.Ronaldo también lo será",amor perdón error cogerte mejor amiga supongo quemar playera firmada cronaldo,Microficción
4403,"Fundador de AliExpress, Jack Ma, perdió 11 mil mdd en 2020; baja en lista de multimillonarios
https://t.co/tuisqSZmTQ https://t.co/OGuAaco0ny",si orgullo puede veo amor,Noticia
924,"“No entendemos el valor de los momentos, hasta que se han convertido en recuerdos.”",superó cifra mil desaparecidos artículo dayan_jacobo,Frase/Pensamiento
5303,"CRÓNICA DE UNA MUERTE ANUNCIADA.
-Hay que extraerle ese veneno. 
-No quiero doctor. 
-Entiéndalo, ese amor ya se agrió, devorará sus entrañas. 
-Pero es lo único que me queda de ella...",crónica muerte anunciada extraerle veneno quiero doctor entiéndalo amor agrió devorará entrañas único queda,Microficción
3803,"Para inmunidad de rebaño, es necesario que 75% de la población sea inmune: López-Gatell https://t.co/4XbgSby5iJ https://t.co/fEWB8eWhph",solo vida haz dé gana sé feliz,Noticia
6567,"Caperucita, decidida a cambiar el cuento, tomó otra ruta para llegar a casa de su abuelita, sin querer darse cuenta de que seguía yendo al encuentro del lobo.",caperucita decidida cambiar cuento tomó ruta llegar casa abuelita querer darse cuenta seguía yendo encuentro lobo,Microficción
7114,La policía quedó sorprendida de la cantidad de freaks y deformes que había ahogado en formol para hacer su museo del horror. #MicroHorror,policía quedó sorprendida cantidad freaks deformes ahogado formol hacer museo horror microhorror,Microficción
3231,"México aprueba Fase 3 de vacuna alemana CureVac contra Covid-19: Ebrard
https://t.co/jCE3UtC5Fn https://t.co/QtBQ33vsOd",cosa tóxica puede hacer usted mismo dejar demasiadas personas sepan vida personal,Noticia
1726,"""A pesar de tanta mierda, siempre hay razones por las que sonreír.""",aumentan ingresos tributarios noviembre hacienda,Frase/Pensamiento
7011,Su rutina implicaba café y el perfil de Facebook de alguien a quien poder criticar. #juevesconcuento,rutina implicaba café perfil facebook alguien poder criticar juevesconcuento,Microficción
347,Cómo no me iba a terminar gustando si siempre supo cómo hacerme sonreír.,video así ve coronavirus 3d,Frase/Pensamiento
89,"Las relaciones no son fáciles, tienes que construir, no irte.",aristeguienvivo dado instrucciones hoy mismo emita comunicado estableciendo cualquier empresa gobierno local quiera adquirir vacunas autorización sólo deberán anexan solicitud contrato adquisición amlo,Frase/Pensamiento
3380,"Bélgica cierra su frontera al turismo de la UE hasta marzo, aunque permitirá viajes ""esenciales""
https://t.co/CN4FNni8e8 https://t.co/QbyhFXe1jq",quizás lloro duele quizás digo siento quizás demuestro importa,Noticia
1071,"""Ningún camino fácil te llevará a algo que valga la pena.""",probable dea armó expediente sólido cienfuegos experto,Frase/Pensamiento
2021,"""Recuerda, eres más valiente de lo que crees, más fuerte de lo que pareces y más inteligente de lo que piensas.""",presidente recupera vigor afirma jesús ramírez padre solalinde visita amlo palacio nacional,Frase/Pensamiento
1927,"""Pequeñas palabras pueden acabar con grandes sentimientos.""",aristeguienvivo año ventas día reyes disminuyeron casi normalmente cuesta enero sentía periodo guadalupereyes pandemia afectado comercio jm_lopezcampos pdte concanaco servytur,Frase/Pensamiento
3992,"#AristeguiEnVivo | Arrancamos nuestra #MesaDeAnálisis con la periodista Anabel Hernández, @FigueroaAlfredo, Exconsejero del IFE, y Gabriel Reyes Orona, Exprocurador Fiscal https://t.co/DSyjj5JrhI https://t.co/wRvUOKChfV",madurar cuidar dices respetar escuchas meditar callas,Noticia
7409,@ClaraMendoxa ¡Qué emoción! ¿Dónde puedo ir a recoger los billetes? 😂,claramendoxa emoción dónde puedo ir recoger billetes,Microficción
4349,"#AristeguiEnVivo | Durante #LaNocheDeLasIdeas, el público tendrá la oportunidad interactuar con las mesas, disfrutar del cine francés y acercarse a las diferentes propuestas culturales a través del sitio https://t.co/pV3UFfw4AB💻: @AsvazadourianJP 👉 https://t.co/3TfngYvsnf https://t.co/hXwVAKym81",mido éxito victorias sino veces conseguido levantarme derrotas,Noticia
3462,Provincia china de Hebei entra en 'modo de guerra' ante propagación de Covid-19 https://t.co/dFYiV7UGjp https://t.co/eglRTc2Fao,tres cosas impiden avanzar orgullo pena miedo,Noticia
602,"Vivir comparando(se), es vivir en la miseria.",aquí competirá goya españa,Frase/Pensamiento
4384,"Confinamiento y clases en línea detonan mayor índice de ciberacoso: Alumbra
https://t.co/SKW94G96Br https://t.co/6rhvvvI5wc",inesperado encanta ejemplo,Noticia
2802,"Personas con síndrome de Down, un grupo olvidado en la vacunación contra el Covid-19, alertó @PIH y @CES_Mexico 
https://t.co/RB6ksWAhwS https://t.co/9NJqfAlULu",necesito verte necesito sonrías necesito abraces necesito beses necesito ahí necesito necesites,Noticia
3488,"Para tener credibilidad, no se necesita tener una condena: Ebrard https://t.co/AU9Cz30Gi9 https://t.co/iFN2IZaMjl",sólo existe tiempo vida amar ser feliz ésta vida tiempo desperdicies segundo,Noticia
1456,Tu voz es mi canción favorita.,línea metro reiniciará operaciones trenes,Frase/Pensamiento
4068,#PrimerasPlanas🌍 | Republicanos dan la espalda a Trump y Reino Unido a punto de colapso hospitalario https://t.co/XXeyx1AXyU https://t.co/psI5ZvdMCA,renuncies solo cosas pusieron difíciles recuerda si vale pena sera fácil,Noticia
1790,"""Piensa como adulto, sueña como niño, vive como joven y aconseja como anciano.""",laura restrepo propuso méxico diera asilo assange audio,Frase/Pensamiento
2286,"Si no nos ayudas, no vamos a resistir: Personal médico | #Video
https://t.co/SBy7yEBYEE https://t.co/rToLc35dRH",cofepris retrasa llegada tratamientos industria vestido pierde empresas columnasfinancieras jueves,Noticia
5496,"¿A quién le importaban los millones de muertos? Habían ganado la guerra. Obesos generales, políticos y chupatintas brindaron entre gritos y alegría.",quién importaban millones muertos ganado guerra obesos generales políticos chupatintas brindaron gritos alegría,Microficción
5489,Lo bueno de ser poeta es que los males de amor pasan rápido.Apenas tres poemas y ya se obsesionan con otra musa de carne y beso #MTintaChida,bueno ser poeta males amor pasan rápidoapenas tres poemas obsesionan musa carne beso mtintachida,Microficción
5575,@escuelacursiva Con el deshielo cientos de vikingos cobraron vida en Islandia provocando un nuevo orden mundial. #juevesconcuento,escuelacursiva deshielo cientos vikingos cobraron vida islandia provocando nuevo orden mundial juevesconcuento,Microficción
1912,"""En los pequeños detalles se conocen a las grandes personas.""",secretario hacienda critica polémica reforma ley banxico,Frase/Pensamiento
7539,"El martes en la oficina se derrumbó el edificio por el terremoto. Desde entonces tratamos de que el jefe entienda que los fantasmas no trabajan.

#martesmge",martes oficina derrumbó edificio terremoto entonces tratamos jefe entienda fantasmas trabajan martesmge,Microficción
7075,"@megustaescribir Nos odiábamos a muerte, pero cuando coincidimos en el grupo de apoyo de abducidos por OVNIS comenzamos a vernos con otros ojos.",megustaescribir odiábamos muerte coincidimos grupo apoyo abducidos ovnis comenzamos vernos ojos,Microficción
5483,-Jamás olvidaré la primera vez que maté a alguien. Fue un lamentable accidente. Hoy es su motivo para levantarse. #psicosisred,jamás olvidaré primera vez maté alguien lamentable accidente hoy motivo levantarse psicosisred,Microficción
5417,Las vacas rumiaban de placer viendo a los últimos humanos pelear a muerte por un saco de pasto.,vacas rumiaban placer viendo últimos humanos pelear muerte saco pasto,Microficción
4381,"#AristeguiEnVivo | Será difícil que la vacuna llegue a todos los mexicanos; debemos recordar que son dos dosis. El gobierno hace un gran esfuerzo, pero vemos las dificultades de transportarla. No sería tan malo que intervenga la IP: @betzabezumaya  👉 https://t.co/GhI3ckBNBj https://t.co/UHXb4RsPe0",ser feliz significa perfecto significa decidido mirar allá imperfecciones,Noticia
6576,Sus ojos eran tan brillantes que el cuervo no pudo evitar sacárselos para guardarlo junto a su botín.,ojos tan brillantes cuervo pudo evitar sacárselos guardarlo junto botín,Microficción
5529,"- ¿Ya es lunes? No puede ser. Voy tarde. 
- ¿Y qué importa? 
- Hoy comienza la invasión. 
- Bueno, no se van a ir sin ti, eres el general, quédate un ratito más – susurró. Con un whatsapp el espía logró advertir a su país evitando una masacre.",lunes puede ser voy tarde importa hoy comienza invasión bueno van ir general quédate ratito susurró whatsapp espía logró advertir país evitando masacre,Microficción
1951,"""No son celos, es miedo a que alguien más pueda hacerte sonreír.""",aristeguienvivo partir enero trump abrirá nuevo cancha operado décadas tribunales fortuna carácter forjado ahí palabras luisperezdeacha abogado,Frase/Pensamiento
715,"""Mensajes inesperados que te alegran el día.""",sfp inhabilita años funcionario pemex relacionado estafa maestra,Frase/Pensamiento
7096,"@MarinMpv Aquí estás llamando bárbaros a los mexicanos, está feo.",marinmpv aquí llamando bárbaros mexicanos feo,Microficción
1474,No dudes en hablarme si necesitas que alguien te escuche.,pfizer completará suministro vacunas ue septiembre,Frase/Pensamiento
6168,"-Tienes los ojos muy grandes.
-Son para verte mejor.
-También tienes los dedos muy largos.
-Son para tocarte mejor.
-Y tienes unas piernas muuuy largas.
-Son para abrazarte mejor.
Y de un salto me encaramé a ti.#jueverotic",ojos grandes verte mejor dedos largos tocarte mejor unas piernas muuuy largas abrazarte mejor salto encaramé tijueverotic,Microficción
7684,Fue directo al sindicato de conejos. En las últimas tres cacerías le había tocado hacer de presa y sabía que detrás de aquello estaba su ex.,directo sindicato conejos últimas tres cacerías tocado hacer presa sabía detrás aquello ex,Microficción
6775,Era hermosa como el coral y cortó su corazón igual.,hermosa coral cortó corazón igual,Microficción
5695,Cuando llegué pensé que no había nada más terrorífico que una ciudad abandonada. Luego supe que era peor que algo me acechara.,llegué pensé terrorífico ciudad abandonada luego supe peor acechara,Microficción
5484,"Los acordes infernales de mi guitarra hacen que te duela la cabeza y sientas miles de pinchazos en el cerebro. Ni siquiera requiero información, ya me has dicho todo, pero disfruto viendo cómo te retuerces.",acordes infernales guitarra hacen duela cabeza sientas miles pinchazos cerebro siquiera requiero información dicho disfruto viendo cómo retuerces,Microficción
6561,"DISCRIMINACIÓN
-¿El corazón?
-Tenía hambre...
-No contraten más enfermeros caníbales. #cuentosde10",discriminación corazón hambre contraten enfermeros caníbales cuentosde10,Microficción
1019,Odio que el tiempo pase tan rápido cuando estoy contigo y tan lento cuando no lo estoy.,justicia británica rechaza solicitud extradición assange eu video,Frase/Pensamiento
1724,"""Deja que hablen de ti, total tú sabes quién eres.""",duda sido año cargado eventos relevantes atrapado interés lectores,Frase/Pensamiento
4229,"#AristeguiEnVivo | Ayer por la noche, siete representantes federales llevaron a la Cámara de Senadores con el cargo que se le imputa a Trump. Ya se dio la pauta para que en la Cámara Alta se lleve a cabo el proceso: @JJesusEsquivel 👉 https://t.co/MpHt9X0goB https://t.co/EkEJMXnidS",dedícale mas tiempo hace realmente feliz,Noticia
3741,Se ha vacunado a más de 43 mil y llegan hoy más de 53 mil dosis de Pfizer: López-Gatell https://t.co/nYZs3yUNOK https://t.co/mPh217ItR5,reír si mañana amarnos si siempre,Noticia
2102,"""La felicidad es un estado mental, una actitud y esta depende de ti solamente.""",fgr puede acusar peculado beneficiarios programas sociales netzaí sandoval,Frase/Pensamiento
